Country_Mapping,Country_Final,Country_ID_Final,2017_Population_World_Bank,2017_Land_Area_km_2,2017_GDP_US_Dollars_World_Bank,World_Bank_Notes,Other_Notes
Afghanistan,Afghanistan,1,36296111,652860,18753469630.2586,,
Albania,Albania,2,2873457,27400,13019689336.6919,,
Algeria,Algeria,3,41389174,2381741,170097014589.134,,
American Samoa,American Samoa,4,55617,200,612000000,,
Andorra,Andorra,5,76997,470,3000180750.11297,,
Angola,Angola,6,29816769,1246700,122123822333.59,,
Anguilla,Anguilla,7,14731,91,311000000,"Wikipedia, 2018 (2014 GDP). British Overseas Territory",
Antigua and Barbuda,Antigua and Barbuda,8,95425,440,1467977777.77778,,
Argentina,Argentina,9,44044811,2736690,643628665302.155,,
Armenia,Armenia,10,2944789,28470,11527458565.7334,,
Aruba,Aruba,11,105361,180,3092430167.59777,,
Australia,Australia,12,24601860,7692020,1326882872011.46,,
Austria,Austria,13,8797566,82520,416230497429.163,,
Azerbaijan,Azerbaijan,14,9854033,82662,40865558912.3867,,
Bahamas,Bahamas,15,381749,10010,12359700000,,
Bahrain,Bahrain,16,1494077,780,35473776595.7447,,
Bangladesh,Bangladesh,17,159685421,130170,249710922462.309,,
Barbados,Barbados,18,286229,430,4978000000,,
Belarus,Belarus,19,9458989,202990,54726595249.1849,,
Belgium,Belgium,20,11375158,30280,501522868356.441,,
Belize,Belize,21,375775,22810,1858529676.71857,,
Benin,Benin,22,11175192,112760,12701654743.2149,,
Bermuda,Bermuda,23,63873,54,7142316000,,
Bhutan,Bhutan,24,745563,38144,2450364928.07302,,
Bolivia (Plurinational State of),Bolivia,25,11192853,1083300,37508642165.3366,,
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",26,20104,288,428000000,"Wikipedia, 2019. GDP 2017 from Statista. Netherlands Overseas Territory",
Bosnia and Herzegovina,Bosnia and Herzegovina,27,3351534,51200,18079075770.6713,,
Botswana,Botswana,28,2205076,566730,16088437675.1648,,
Brazil,Brazil,29,207833825,8358140,2063514688761.98,,
British Virgin Islands,British Virgin Islands,30,29567,150,500000000,GDP 2017 from Wikipedia.,
Brunei Darussalam,Brunei Darussalam,31,424481,5270,12128104859.1498,,
Bulgaria,Bulgaria,32,7075947,108560,59199447421.4924,,
Burkina Faso,Burkina Faso,33,19193236,273600,14106956830.0857,,
Burundi,Burundi,34,10827010,25680,2748180473.71333,,
Cabo Verde,Cabo Verde,35,537499,4030,1768319144.00218,,
Cambodia,Cambodia,36,16009413,176520,22177200511.5811,,
Cameroon,Cameroon,37,24566070,472710,36098550141.5897,,
Canada,Canada,38,36545295,8965590,1649265644244.09,,
Cayman Islands,Cayman Islands,39,63382,240,5166467298.69195,,
Central African Republic,Central African Republic,40,4596023,622980,2072349794.23301,,
Chad,Chad,41,15016761,1259200,10000395242.1457,,
Channel Islands,Channel Islands,999,,,,,Broken out as Jersey and Guernsey in the data
Chile,Chile,43,18470435,743532,277034675515.684,,
China,China,44,1396215000,9424700.8,12310409370894.2,,
"China, Hong Kong Special Administrative Region",Hong Kong,45,7391700,1050,341244161576.759,,
"China, Macao Special Administrative Region",Macao,46,622578,30.8,50440941938.6992,,
"China: Taiwan, Province of China",Taiwan,999,,,,Does not appear as its own data for almost all variables (maybe included with China),
Colombia,Colombia,48,48909844,1109500,311883730690.129,,
Comoros,Comoros,49,813890,1861,1077439662.5798,,
Congo,Congo,50,5110701,341500,11090177747.1315,,
Cook Islands,Cook Islands,51,17459,236.7,384000000,"Wikipedia, 2016. GDP 2020 from Wikipedia. Relationship with New Zealand",
Costa Rica,Costa Rica,52,4949955,51060,60516043590.1924,,
Cote d'Ivoire,Cote d'Ivoire,53,24437475,318000,51588158717.5348,,
Côte d’Ivoire,Cote d'Ivoire,53,24437475,318000,51588158717.5348,,
Croatia,Croatia,54,4124531,56590,56214427431.2,,
Cuba,Cuba,55,11339255,103800,96851000000,,
Curaçao,Curacao,56,160175,444,3116610111.73184,,
Cyprus,Cyprus,57,1179685,9240,22870833709.8961,,
Czech Republic,Czech Republic,58,10594438,77210,218628940951.675,,
Czechia,Czechia,58,10594438,77210,218628940951.675,,
Democratic People's Republic of Korea,Democratic People's Republic of Korea,59,25429816,120410,30000000000,"GDP 2017, from Wikipedia",
Democratic Republic of the Congo,Democratic Republic of the Congo,60,81398765,2267050,38019265625.8845,,
Denmark,Denmark,61,5764980,40000,332121063806.391,,
Djibouti,Djibouti,62,944100,23180,2751445573.68009,,
Dominica,Dominica,63,71460,750,519837037.037037,,
Dominican Republic,Dominican Republic,64,10513111,48310,79997975621.8654,,
Ecuador,Ecuador,65,16785356,248360,104295862000,,
Egypt,Egypt,66,96442590,995450,235733695652.174,,
El Salvador,El Salvador,67,6388124,20720,24979190000,,
Equatorial Guinea,Equatorial Guinea,68,1262008,28050,12200913887.6419,,
Eritrea,Eritrea,69,3214,101000,2250000000,Most recent Year 2011 for population. Data from World Bank Website. GDP 2021 from Wikipedia.,
Estonia,Estonia,70,1317384,43470,26857880621.935,,
Eswatini,Eswatini,71,1124808,17200,4402969225.92165,,
Ethiopia,Ethiopia,72,106399926,1129279.999,81770791970.982,,
Faeroe Islands,Faeroe Islands,73,48326,1396,2899226097.62377,,
Falkland Is. (Malvinas),Falkand Islands,74,3398,12200,228500000,"Wikipedia, 2016. GDP 2013 from Wikipedia. British Overseas Territory",
Falkland Islands (Malvinas),Falkand Islands,74,3398,12200,228500000,"Wikipedia, 2016. GDP 2013 from Wikipedia. British Overseas Territory",
Fiji,Fiji,75,877460,18270,5353404422.08138,,
Finland,Finland,76,5508214,303920,255016517537.983,,
France,France,77,66918020,547557,2588740901639.81,,
French Guiana,French Guiana,78,294436,83846,4870000000,"Wikipedia, 2022. GDP 2019 from Wikipedia. Part of France, possibly counted in France Data",
French Polynesia,French Polynesia,79,276108,3660,6163000000,GDP 2018 from Wikipedia,
Gabon,Gabon,80,2064812,257670,14929488770.7315,,
Gambia,Gambia,81,2213900,10120,1504909753.28746,,
Georgia,Georgia,82,3728004,69490,16242916915.7203,,
Germany,Germany,83,82657002,349370,3681732583768.5,,
Ghana,Ghana,84,29121464,227540,60406382898.5174,,
Gibraltar,Gibraltar,85,33723,10,1640000000,GDP 2013 from Wikipedia,
Greece,Greece,86,10754679,128900,199350781053.185,,
Greenland,Greenland,87,56172,410450,2851610655.92391,,
Grenada,Grenada,88,110874,340,1125685185.18519,,
Guadeloupe,Guadeloupe,89,400201,1628,10300000000,"Wikipedia, 2021. GDP 2014 from Wikipedia. Part of France",
