"Country_ID","Country","CH4_latest_year","CH4","CH4_change_1990","CH4_per_capita","CO2_latest_year","CO2","CO2_change_1990","CO2_per_capita","GHG_latest_year","GHG","GHG_change_1990","GHG_per_capita","N2O_latest_year","N2O","N2O_change_1990","N2O_per_capita","NOx_latest_year","NOx","NOx_change_1990","NOx_per_capita","SO2_latest_year","SO2","SO2_change_1990","SO2_per_capita"
4,"Afghanistan","2013","13916.00","...","0.431","2013","9851.00","...","0.31","2013","43377.00","...","1.34","2013","19,610.00","...","0.608","2013","66.00","...","2.05","2005"," 13.86 ","..."," 0.54 "
8,"Albania","2009","1984.17","73.46","0.667","2009","5942.57","91.59","2.00","2009","8125.70","87.16","2.73","2009","120.96","25.87","0.041","2009","48.49","171.70","16.31","2009"," 1.60 ","180.70"," 0.54 "
12,"Algeria","2000","32922.13","...","1.061","2000","71593.26","...","2.31","2000","111022.59","...","3.58","2000","6,500.70","...","0.209","2000","280.33","...","9.03","2000"," 45.64 ","..."," 1.47 "
24,"Angola","2005","19932.36","...","1.026","2005","27809.00","...","1.43","2005","61610.76","...","3.17","2005","13,869.40","...","0.714","2005","151.32","...","7.79",NA,NA,NA,NA
28,"Antigua and Barbuda","2000","142.17","43.74","1.870","2000","371.88","29.06","4.89","2000","597.75","53.81","7.86","2000","83.70","5,194.12","1.101","2000","2.27","...","29.87","2000"," 2.75 ","-2.83"," 36.18 "
32,"Argentina","2012","77139.66","0.46","1.847","2012","188265.15","86.65","4.51","2012","338963.35","46.70","8.12","2012","73,154.41","41.16","1.752","2012","1007.23","97.78","24.12","2012"," 119.38 ","50.73"," 2.86 "
51,"Armenia","2010","2261.11","-28.66","0.786","2010","4456.99","-79.38","1.55","2010","7202.17","-71.14","2.50","2010","484.07","185.47","0.168","2010","17.21","-77.53","5.98","2010"," 29.44 ","7390.84"," 10.23 "
36,"Australia","2018","4381.29","-11.94","0.176","2018","415953.95","49.40","16.71","2018","558047.22","31.31","22.41","2018","67.50","26.20","0.003","2018","2721.85","67.93","109.32","2018"," 2,121.03 ","33.76"," 85.19 "
40,"Austria","2018","257.55","-38.04","0.029","2018","66719.68","7.40","7.50","2018","78950.34","0.58","8.88","2018","11.83","-18.39","0.001","2018","149.00","-31.14","16.76","2018"," 11.67 ","-84.15"," 1.31 "
31,"Azerbaijan","2013","15997.72","18.86","1.705","2013","39228.89","-29.82","4.18","2013","57994.77","-20.97","6.18","2013","2,767.12","-26.65","0.295","2012","4.00","4900.00","0.43",NA,NA,NA,NA
44,"Bahamas","2000","25.62","22.02","0.086","2000","660.44","-65.13","2.22","2000","724.58","-62.17","2.43","2000","38.51","...","0.129",NA,NA,NA,NA,NA,NA,NA,NA
48,"Bahrain","2000","3906.00","...","5.877","2000","18170.00","...","27.34","2000","22372.80","...","33.66","1994","40.92","...","0.074","2000","52.00","...","78.24","2000"," 27.00 ","..."," 40.63 "
50,"Bangladesh","2005","39465.30","...","0.284","2005","40862.34","...","0.29","2005","99442.24","...","0.72","2005","19,114.60","...","0.137","2005","3.95","...","0.03",NA,NA,NA,NA
52,"Barbados","1997","1808.52","8.78","6.744","1997","2198.32","40.54","8.20","2010","1979.00","-39.60","7.01","1997","49.60","...","0.185","1997","0.05","-97.90","0.19","1997"," 0.05 ","..."," 0.19 "
112,"Belarus","2018","643.90","-7.80","0.068","2018","61871.68","-40.33","6.55","2018","91992.61","-33.23","9.73","2018","47.05","-15.64","0.005","2018","2.33","69.41","0.25","2018"," 4.81 ","37.25"," 0.51 "
56,"Belgium","2018","313.95","-35.75","0.027","2018","100207.84","-16.71","8.73","2018","118455.74","-19.09","10.32","2018","19.14","-43.39","0.002","2018","167.05","-60.62","14.55","2018"," 37.97 ","-89.59"," 3.31 "
84,"Belize","2009","261.72","...","0.832","2009","5.93","...","0.02","2009","1202.82","...","3.82","2009","489.80","...","1.557","2009","0.03","...","0.10","1994"," 0.53 ","..."," 2.63 "
204,"Benin","2000","2323.65","...","0.338","2000","1416.38","...","0.21","2000","6251.03","...","0.91","2000","2,511.00","...","0.366","2000","24.96","...","3.64","2000"," 13.88 ","..."," 2.02 "
64,"Bhutan","2000","592.83","...","1.003","2000","498.07","...","0.84","2000","1555.90","...","2.63","2000","465.00","...","0.787","2000","1.77","...","2.99","2000"," 1.06 ","..."," 1.79 "
68,"Bolivia (Plurinational State of)","2004","11973.06","28.03","1.320","2004","9786.04","81.69","1.08","2004","43665.10","184.95","4.81","2004","1,386.91","140.53","0.153","2004","13.42","-63.74","1.48","2000"," 12.10 ","8.42"," 1.44 "
70,"Bosnia and Herzegovina","2014","2478.00","-44.37","0.712","2014","21712.00","-17.95","6.24","2014","25740.00","-24.39","7.39","2014","1,550.00","-50.45","0.445","2014","79.00","-4.90","22.69","2014"," 516.00 ","13.87"," 148.19 "
72,"Botswana","2015","4067.23","...","1.918","2015","7435.22","...","3.51","2015","23977.58","...","11.31","2015","12,475.14","...","5.883","2015","8.43","...","3.97",NA,NA,NA,NA
