"Country_ID","Country","renewable_percent_2017","energy_supply_petajoules","energy_supply_per_capita_gigajoules","contribution_renewable_to_electric_production","energy_intensity_2017","energy_supply_per_capita_2017","energy_supply_2017","mining_value_2017"
4,"Afghanistan","84.70",123,3,"84.70",35.33,"3","123",0.96
8,"Albania","100.00",100,34,"100.00",59.08,"34","100",2.74
12,"Algeria","0.84",2289,55,"0.84",62.39,"55","2289",21.35
20,"Andorra","83.96",9,117,"83.96",NA,"117","9",NA
24,"Angola","71.40",618,21,"71.40",78.42,"21","618",21.58
660,"Anguilla","0.00",2,136,"0.00",NA,"136","2",0.38
28,"Antigua and Barbuda","2.55",7,69,"2.55",62.15,"69","7",1.03
32,"Argentina","29.03",3385,76,"29.03",76.67,"76","3385",3.5
51,"Armenia","29.28",137,47,"29.28",105.83,"47","137",3.64
533,"Aruba","14.11",13,123,"14.11",106.89,"123","13",NA
36,"Australia","14.32",5353,219,"14.32",99.41,"219","5353",8.8
40,"Austria","70.25",1404,161,"70.25",65.25,"161","1404",0.33
31,"Azerbaijan","7.42",602,61,"7.42",109.79,"61","602",36.79
44,"Bahamas","0.00",29,72,"0.00",46.2,"72","29",0.28
48,"Bahrain","0.03",580,389,"0.03",181.36,"389","580",13.51
50,"Bangladesh","1.67",1925,12,"1.67",57.85,"12","1925",1.83
52,"Barbados","2.80",16,55,"2.80",67.8,"55","16",0.27
112,"Belarus","1.71",1081,114,"1.71",158.15,"114","1081",0.79
56,"Belgium","13.53",2301,201,"13.53",93.81,"201","2301",0.06
84,"Belize","48.74",16,43,"48.74",87,"43","16",0.36
204,"Benin","1.81",213,19,"1.81",140.16,"19","213",0.63
60,"Bermuda","0.00",9,151,"0.00",39.25,"151","9",NA
64,"Bhutan","99.99",67,83,"99.99",245.36,"83","67",4.44
68,"Bolivia (Plurinational State of)","23.13",371,34,"23.13",85.83,"34","371",12.43
70,"Bosnia and Herzegovina","24.38",278,79,"24.38",120.43,"79","278",2.28
72,"Botswana","0.07",99,43,"0.07",59.51,"43","99",19.09
76,"Brazil","70.24",12900,62,"70.24",66.78,"62","12900",1.94
92,"British Virgin Islands","0.67",2,77,"0.67",NA,"77","2",0.08
96,"Brunei Darussalam","0.05",153,356,"0.05",67.85,"356","153",42.87
100,"Bulgaria","14.11",781,110,"14.11",133.98,"110","781",2.21
854,"Burkina Faso","12.51",185,10,"12.51",104.83,"10","185",10.75
108,"Burundi","54.35",63,6,"54.35",211.38,"6","63",0.52
132,"Cabo Verde","16.87",10,18,"16.87",51.4,"18","10",0.35
116,"Cambodia","39.13",339,21,"39.13",105.83,"21","339",1.77
120,"Cameroon","51.31",388,16,"51.31",92.02,"16","388",3.97
124,"Canada","64.59",12088,330,"64.59",140.94,"330","12088",5.72
136,"Cayman Islands","0.00",8,135,"0.00",44.61,"135","8",0.25
140,"Central African Republic","99.35",23,5,"99.35",115.51,"5","23",2.46
148,"Chad","0.00",85,6,"0.00",72.77,"6","85",6.79
152,"Chile","36.28",1603,89,"36.28",71.3,"89","1603",10.58
156,"China","24.39",123598,88,"24.39",146.83,"88","123598",5.01
