"Country_ID","Country","agricultural_area_2013","percent_land_agricultural_2013","arable_land_2013","permanent_crops_2013","permanent_meadows_pastures_2013","nitrogen_consumption","phosphate_consumption","potash_consumption","terrestrial_protected_areas"
4,"Afghanistan","  379 100","58.1","  77 850","  1 250","  300 000"," 1.04",0,0,"0.1"
8,"Albania","  11 873","43.3","  6 171","   792","  4 910"," 25.73",19.29,0.44,"17.7"
12,"Algeria","  414 316","17.4","  74 962","  9 390","  329 964"," 1.08",1.07,0.62,"7.5"
16,"American Samoa","   49","24.5","   30","   19","...",NA,NA,NA,"15.8"
20,"Andorra","   208","44.3","   29","...","   179",NA,NA,NA,"26.7"
24,"Angola","  591 900","47.5","  49 000","  2 900","  540 000"," 0.33",0.16,0.24,"7"
28,"Antigua and Barbuda","   90","20.5","   40","   10","   40"," 1.78",1.22,0.78,"18.6"
32,"Argentina"," 1 491 990","54.5","  396 990","  10 000"," 1 085 000"," 5.17",4.17,0.28,"8.8"
51,"Armenia","  16 821","59.1","  4 482","   568","  11 771"," 11.65",0.3,0.09,"23.1"
533,"Aruba","   20","11.1","   20","...","...",NA,NA,NA,"18.9"
36,"Australia"," 3 966 153","51.6","  462 190","  3 920"," 3 500 043"," 3.32",2.08,0.54,"19.3"
40,"Austria","  31 545","38.2","  13 540","   654","  17 351"," 27.26",7.29,9.99,"28.4"
31,"Azerbaijan","  47 698","57.7","  19 253","  2 303","  26 142"," 5.18",1.32,0.6,"10.2"
44,"Bahamas","   140","1.4","   80","   40","   20",NA,NA,NA,"36.6"
48,"Bahrain","   86","11.2","   16","   30","   40"," 17.44",17.44,156.98,"6.6"
50,"Bangladesh","  91 080","70.0","  76 780","  8 300","  6 000"," 83.01",51.91,40.98,"4.6"
52,"Barbados","   140","32.6","   110","   10","   20"," 76.79",1.07,2.21,"1.3"
112,"Belarus","  87 260","43.0","  55 734","  1 200","  30 326"," 61.29",23.83,78.21,"9.4"
56,"Belgium","  13 365","44.1","  8 160","   223","  4 982"," 141.64",16.79,16.56,"23.3"
84,"Belize","  1 600","7.0","   780","   320","   500"," 37.44",23.81,22.98,"37.7"
204,"Benin","  37 500","33.3","  27 000","  5 000","  5 500"," 1.68",1.13,1.16,"29.6"
60,"Bermuda","   3","6.0","   3","...","...",NA,NA,NA,"2.1"
64,"Bhutan","  5 196","13.6","  1 002","   124","  4 070"," 1.91",0.61,0.41,"48"
68,"Bolivia (Plurinational State of)","  376 700","34.8","  44 380","  2 320","  330 000"," 0.63",0.39,0.12,"30.9"
70,"Bosnia and Herzegovina","  21 580","42.1","  10 100","  1 030","  10 450"," 34.19",4.07,4.54,"1.4"
72,"Botswana","  258 740","45.7","  2 720","   20","  256 000"," 0.85",0.01,0.01,"29.1"
76,"Brazil"," 2 788 081","33.4","  760 081","  68 000"," 1 960 000"," 14.18",16.77,16.93,"29.4"
92,"British Virgin Islands","   70","46.7","   10","   10","   50",NA,NA,NA,"9.1"
96,"Brunei Darussalam","   144","2.7","   50","   60","   34"," 4.86",5.28,5.35,"46.9"
100,"Bulgaria","  49 950","46.0","  34 790","  1 350","  13 810"," 76.05",14.02,4.89,"34.7"
854,"Burkina Faso","  123 000","45.0","  62 000","  1 000","  60 000"," 3.55",1.87,1.79,"14.9"
108,"Burundi","  20 330","79.2","  12 000","  3 500","  4 830"," 2.04",1.59,0.72,"7.6"
132,"Cabo Verde","   840","20.8","   550","   40","   250",NA,NA,NA,"2.9"
116,"Cambodia","  58 000","32.9","  41 450","  1 550","  15 000"," 7.72",2.07,0.37,"26"
120,"Cameroon","  97 500","20.6","  62 000","  15 500","  20 000"," 2.00",0.57,1.67,"10.6"
124,"Canada","  652 510","7.2","  459 150","  47 360","  146 000"," 44.34",12.4,5.36,"9.7"
136,"Cayman Islands","   27","11.3","   2","   5","   20",NA,NA,NA,"10.8"
