"Country_ID","Country","climate_disaster_occurence_2010_2019","climate_disaster_deaths_2010_2019","climate_disaster_affected_2010_2019","geophysical_disaster_occurence_2010_2019","geophysical_disaster_deaths_2010_2019","geophysical_disaster_affected_2010_2019","hydrological_disaster_occurence_2010_2019","hydrological_disaster_deaths_2010_2019","hydrological_disaster_affected_2010_2019","meteorological_disaster_occurence_2010_2019","meteorological_disaster_deaths_2010_2019","meteorological_disaster_affected_2010_2019"
4,"Afghanistan","2","0","12350000","5","217","97970","46","2218","453890","5","196","9128"
8,"Albania","...","...","...","3","51","14007","7","4","82602","2","11","230000"
12,"Algeria","...","...","...","1","6","420","6","97","36094","2","8","250025"
24,"Angola","2","0","3253900",NA,NA,NA,"19","401","334944",NA,NA,NA
660,"Anguilla","...","...","...",NA,NA,NA,NA,NA,NA,"1","4","15000"
28,"Antigua and Barbuda","...","...","...",NA,NA,NA,NA,NA,NA,"2","1","6400"
32,"Argentina","1","0","0","2","0","3000","20","103","745569","6","75","15242"
51,"Armenia","...","...","...","...","...","...","1","0","750","4","0","97600"
36,"Australia","13","41","12628","...","...","...","12","49","212997","15","172","126377"
31,"Azerbaijan","...","...","...","2","0","22499","1","3","70000","1","5","0"
50,"Bangladesh","...","...","...","2","9","270","20","910","26310843","28","810","9581797"
52,"Barbados","1","0","0","...","...","...",NA,NA,NA,"2","1","2500"
56,"Belgium","...","...","...","...","...","...","3","4","690","14","1137","71"
204,"Benin","1","1","2759",NA,NA,NA,"4","50","924575","...","...","..."
64,"Bhutan","...","...","...","1","1","20016","...","...","...","...","...","..."
68,"Bolivia (Plurinational State of)","6","0","1119335","1","0","3000","17","439","1534350","2","22","17490"
70,"Bosnia and Herzegovina","...","...","...",NA,NA,NA,"9","30","1036269","2","6","10347"
72,"Botswana","2","0","38000",NA,NA,NA,"4","12","11685","...","...","..."
76,"Brazil","4","0","31062000","...","...","...","40","1646","3126578","3","36","24901"
96,"Brunei Darussalam","...","...","...",NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"Bulgaria","...","...","...","1","0","210","8","30","47147","4","37","40"
854,"Burkina Faso","2","0","6850000",NA,NA,NA,"6","61","230458",NA,NA,NA
108,"Burundi","1","0","0","...","...","...","13","226","64463","2","21","1550"
132,"Cabo Verde","...","...","...","1","0","2500","...","...","...","1","9","0"
116,"Cambodia","1","0","2500000",NA,NA,NA,"9","538","4639790","1","0","6300"
120,"Cameroon","1","0","12000","...","...","...","8","99","348770",NA,NA,NA
124,"Canada","5","1","154477",NA,NA,NA,"9","12","153317","11","83","950"
140,"Central African Republic","...","...","...",NA,NA,NA,"5","3","61013","6","2","19274"
148,"Chad","2","0","3486800",NA,NA,NA,"5","96","758670","...","...","..."
152,"Chile","7","32","20149","8","590","3902619","10","227","218918","5","6","52038"
156,"China","9","52","79726003","53","4265","8166393","124","8980","383784910","109","1640","74832013"
344,"China, Hong Kong Special Administrative Region","...","...","...",NA,NA,NA,"...","...","...","4","1","15456"
170,"Colombia","2","31","200","2","0","51251","34","1664","4677118","2","11","18"
174,"Comoros","...","...","...","1","0","10000","1","4","65137","3","8","354822"
178,"Congo","...","...","...",NA,NA,NA,"3","19","9614",NA,NA,NA
188,"Costa Rica","2","0","0","2","2","19212","6","38","194180","2","22","61500"
384,"Côte d’Ivoire","...","...","...",NA,NA,NA,"8","135","31650",NA,NA,NA
191,"Croatia","1","0","80","...","...","...","8","4","13462","4","7","3500"
192,"Cuba","1","0","100000","...","...","...","3","7","13316","7","37","10448752"
196,"Cyprus","...","...","...","...","...","...",NA,NA,NA,"...","...","..."
408,"Democratic People's Republic of Korea","4","0","31100000",NA,NA,NA,"10","936","2301181","6","180","106978"
180,"Democratic Republic of the Congo","2","11","59773","1","3","390","20","762","833761","...","...","..."
208,"Denmark","...","...","...",NA,NA,NA,NA,NA,NA,"3","2","0"
262,"Djibouti","1","0","200258",NA,NA,NA,"2","9","400000","1","2","25000"
214,"Dominican Republic","...","...","...","...","...","...","12","29","2881860","11","20","151235"
218,"Ecuador","2","5","5110","8","676","1322335","12","109","146257",NA,NA,NA
222,"El Salvador","2","0","1086610","3","1","65738","3","40","307099","5","39","32604"
232,"Eritrea","...","...","...",NA,NA,NA,"...","...","...","...","...","..."
748,"Eswatini","2","0","724000",NA,NA,NA,"1","11","400","...","...","..."
231,"Ethiopia","3","0","16005679","...","...","...","11","214","1076101",NA,NA,NA
242,"Fiji","1","0","67000","...","...","...","2","15","19545","7","59","780039"
250,"France","1","0","12012","1","0","754","12","92","12812","26","4810","502256"
270,"Gambia","2","0","491100",NA,NA,NA,"3","11","42261","...","...","..."
268,"Georgia","...","...","...","...","...","...","8","52","155319","2","0","7768"
288,"Ghana","...","...","...",NA,NA,NA,"11","198","1246377","1","20","12"
300,"Greece","1","100","4718","4","6","77876","7","32","7074","3","12","123"
308,"Grenada","1","0","0",NA,NA,NA,NA,NA,NA,"...","...","..."
320,"Guatemala","3","0","3066485","8","510","3147312","18","510","774592","10","194","526394"
324,"Guinea","...","...","...",NA,NA,NA,"7","24","112682","...","...","..."
624,"Guinea-Bissau","...","...","...",NA,NA,NA,"1","2","56792","1","3","11541"
328,"Guyana","1","0","0",NA,NA,NA,"2","0","202274",NA,NA,NA
332,"Haiti","2","0","4600000","2","222587","3739336","20","238","309210","11","673","2433543"
340,"Honduras","3","0","1056710","...","...","...","11","189","603276","4","26","24946"
348,"Hungary","...","...","...","1","0","1800","4","1","59347","4","16","22498"
356,"India","4","24","338200000","7","237","645928","82","14223","97507675","67","7266","36231150"
360,"Indonesia","2","30","409664","34","6530","1839040","91","1761","2824303","3","32","12585"
364,"Iran (Islamic Republic of)","...","...","...","22","827","346248","12","240","10477661","1","4","2000"
368,"Iraq","...","...","...","1","10","5969","6","110","97866",NA,NA,NA
376,"Israel","2","44","80159",NA,NA,NA,"2","14","0","2","4","2003200"
380,"Italy","2","0","0","8","352","58554","17","69","16985","15","97","3417"
388,"Jamaica","1","0","91545",NA,NA,NA,"...","...","...","4","16","348356"
392,"Japan","...","...","...","11","20018","824396","12","457","1609099","57","1502","1010501"
400,"Jordan","...","...","...",NA,NA,NA,"2","34","64","...","...","..."
398,"Kazakhstan","...","...","...","...","...","...","8","53","77379","1","0","5000"
404,"Kenya","5","0","15250000","...","...","...","22","1007","1344933",NA,NA,NA
296,"Kiribati","...","...","...",NA,NA,NA,"1","0","220","1","0","1500"
417,"Kyrgyzstan","...","...","...","3","0","21780","3","24","19405","2","16","50"
418,"Lao People's Democratic Republic","1","0","0",NA,NA,NA,"10","232","1438547","3","0","735145"
428,"Latvia","1","0","0",NA,NA,NA,NA,NA,NA,"1","10","0"
422,"Lebanon","...","...","...",NA,NA,NA,"...","...","...","5","23","1012701"
426,"Lesotho","3","0","2137515",NA,NA,NA,"2","26","5000","1","0","2600"
430,"Liberia","...","...","...",NA,NA,NA,"2","1","30917","...","...","..."
440,"Lithuania","1","0","0",NA,NA,NA,"1","4","0","4","40","0"
450,"Madagascar","3","0","2420000",NA,NA,NA,"1","26","24000","15","613","1539834"
454,"Malawi","2","0","8600000","...","...","...","16","374","1927346","2","5","6350"
458,"Malaysia","1","0","2200000","1","24","10","16","53","416140","1","0","426"
466,"Mali","2","0","4100000",NA,NA,NA,"10","71","125046",NA,NA,NA
584,"Marshall Islands","2","0","27384",NA,NA,NA,"1","0","360","1","0","0"
478,"Mauritania","4","0","5805374",NA,NA,NA,"3","11","48880","1","18","2040"
480,"Mauritius","...","...","...",NA,NA,NA,"1","11","82","1","0","30000"
484,"Mexico","2","0","2500000","8","476","1561030","19","286","1560562","35","496","1683161"
583,"Micronesia (Federated States of)","1","0","100000",NA,NA,NA,"...","...","...","2","5","45000"
496,"Mongolia","...","...","...",NA,NA,NA,"3","29","8801","5","0","1388000"
499,"Montenegro","1","0","200",NA,NA,NA,"2","0","6350","1","1","4500"
504,"Morocco","...","...","...","...","...","...","5","85","77038","7","49","2594500"
508,"Mozambique","2","0","2760000","...","...","...","14","464","944993","8","712","2763354"
104,"Myanmar","...","...","...","4","133","23915","23","696","3141349","5","80","467525"
516,"Namibia","3","0","1649644",NA,NA,NA,"5","116","627652",NA,NA,NA
524,"Nepal","1","11","0","3","8976","5810099","24","1611","2032647","6","252","40029"
554,"New Zealand","1","0","0","6","205","615760","5","1","3100","3","3","640"
558,"Nicaragua","2","0","760000","1","2","12281","9","132","353337","4","20","49770"
562,"Niger","3","0","6719428",NA,NA,NA,"16","428","1928244","...","...","..."
566,"Nigeria","...","...","...",NA,NA,NA,"17","1026","10793062","3","54","16012"
807,"North Macedonia","...","...","...","1","0","100","4","30","143523","3","4","16120"
586,"Pakistan","1","77","4680912","9","806","749986","40","5057","36525954","9","1686","84521"
591,"Panama","3","0","0","...","...","...","10","30","50005","2","14","24000"
598,"Papua New Guinea","1","24","2520000","7","181","562867","6","75","282000","3","0","21545"
600,"Paraguay","4","0","1466900",NA,NA,NA,"11","29","1183345","5","19","87125"
604,"Peru","1","0","0","10","18","70874","21","592","3585579","7","1224","503731"
608,"Philippines","2","0","197687","21","447","4255413","57","788","19189105","81","12552","75848621"
616,"Poland","1","0","0",NA,NA,NA,"3","21","100703","15","725","7581"
620,"Portugal","5","121","4965",NA,NA,NA,"2","44","618","9","9","4109"
630,"Puerto Rico","...","...","...",NA,NA,NA,"2","1","400","6","67","752271"
410,"Republic of Korea","1","1","3035","2","0","34889","4","138","31026","12","93","131035"
498,"Republic of Moldova","1","0","5800",NA,NA,NA,"1","1","12000","2","10","12834"
642,"Romania","...","...","...","...","...","...","10","47","23024","5","162","7676"
643,"Russian Federation","7","93","13771","...","...","...","21","282","256716","7","56011","1820"
646,"Rwanda","...","...","...","...","...","...","13","267","60517","2","3","6553"
662,"Saint Lucia","1","0","0","...","...","...","2","6","21984","2","14","206000"
670,"Saint Vincent and the Grenadines","1","0","0",NA,NA,NA,"3","12","42697","2","0","6100"
882,"Samoa","1","0","0","...","...","...","...","...","...","2","12","12703"
678,"Sao Tome and Principe","...","...","...",NA,NA,NA,NA,NA,NA,NA,NA,NA
686,"Senegal","2","0","1489702",NA,NA,NA,"7","40","347656","...","...","..."
694,"Sierra Leone","1","0","2257",NA,NA,NA,"6","1156","41458","...","...","..."
703,"Slovakia","...","...","...",NA,NA,NA,"3","5","850","4","128","0"
90,"Solomon Islands","1","0","0","3","10","14225","4","49","83080","5","9","46086"
706,"Somalia","5","20000","13735624","...","...","...","13","80","2362496","5","221","404380"
710,"South Africa","4","9","3455500","1","1","2002","10","199","344706","9","84","24019"
728,"South Sudan","2","50","3600012",NA,NA,NA,"8","149","1284800",NA,NA,NA
724,"Spain","4","8","1506","1","10","15300","10","47","7465","9","27","320"
144,"Sri Lanka","3","0","4500000","...","...","...","26","1169","5681179","4","56","271457"
729,"Sudan","2","0","4000000","...","...","...","13","526","1663459","2","36","30"
752,"Sweden","1","0","0",NA,NA,NA,NA,NA,NA,"1","7","0"
760,"Syrian Arab Republic","...","...","...",NA,NA,NA,"1","2","235000","2","13","3500"
762,"Tajikistan","...","...","...","5","4","18502","14","132","66258","2","1","2500"
764,"Thailand","6","0","18482602","2","2","17539","19","1438","27826191","8","105","2751445"
626,"Timor-Leste","1","0","120000","1","0","2003","...","...","...","...","...","..."
768,"Togo","...","...","...",NA,NA,NA,"3","22","127610",NA,NA,NA
776,"Tonga","1","0","0","...","...","...",NA,NA,NA,"6","1","91406"
780,"Trinidad and Tobago","1","0","0","...","...","...","1","0","150000","...","...","..."
788,"Tunisia","1","0","2000",NA,NA,NA,"2","13","30000",NA,NA,NA
792,"Turkey","...","...","...","7","699","48901","8","89","7029","1","0","270"
798,"Tuvalu","1","0","0",NA,NA,NA,NA,NA,NA,"1","0","4613"
800,"Uganda","1","0","669000","1","4","590","16","741","335564","1","23","47"
804,"Ukraine","1","0","0",NA,NA,NA,"3","11","42519","5","269","88626"
834,"United Republic of Tanzania","1","0","1000000","1","17","139601","16","175","272124","2","47","2005112"
840,"United States of America","34","202","300381","5","1","6650","40","335","313857","150","2459","88053581"
858,"Uruguay","1","0","11135",NA,NA,NA,"8","8","58673","1","4","0"
860,"Uzbekistan","...","...","...","1","13","0","...","...","...",NA,NA,NA
862,"Venezuela (Bolivarian Republic of)","...","...","...","...","...","...","10","66","167465","1","8","0"
704,"Viet Nam","2","0","1750000",NA,NA,NA,"32","864","6816319","31","508","8601814"
894,"Zambia","...","...","...",NA,NA,NA,"6","13","24525",NA,NA,NA
716,"Zimbabwe","3","0","13567618",NA,NA,NA,"6","165","13022","4","920","385684"
16,"American Samoa",NA,NA,NA,"...","...","...","...","...","...","...","...","..."
40,"Austria",NA,NA,NA,"...","...","...","2","4","200","5","21","330"
212,"Dominica",NA,NA,NA,"...","...","...",NA,NA,NA,"3","94","100227"
818,"Egypt",NA,NA,NA,"...","...","...","2","27","3500","5","198","32813"
276,"Germany",NA,NA,NA,"...","...","...","5","18","6950","17","41","39"
312,"Guadeloupe",NA,NA,NA,"...","...","...",NA,NA,NA,"1","4","80002"
316,"Guam",NA,NA,NA,"...","...","...",NA,NA,NA,"...","...","..."
352,"Iceland",NA,NA,NA,"1","0","0","...","...","...",NA,NA,NA
462,"Maldives",NA,NA,NA,"...","...","...","...","...","...","...","...","..."
474,"Martinique",NA,NA,NA,"...","...","...",NA,NA,NA,"2","1","2"
500,"Montserrat",NA,NA,NA,"...","...","...",NA,NA,NA,"...","...","..."
528,"Netherlands",NA,NA,NA,"...","...","...","...","...","...","9","406","0"
