Country ID,Country,"Time Series - Total CH4 Emissions, in 1000 tonnes of CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CH4 emissions, latest year",% change since 1990,"CH4 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg
4,Afghanistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"10,163.18",...,...,...,...,...,...,...,"13,916.00",...,...,...,...,...,2013,13916.00,...,0.431
8,Albania,"1,143.87","1,183.56","1,161.72","1,256.43","1,309.77","1,313.34","1,573.32","1,602.93","1,617.21","1,747.62","2,155.55","2,115.88","2,072.43","2,097.86","2,135.68","2,062.83","2,121.02","2,038.51","1,927.65","1,984.17",...,...,...,...,...,...,...,...,...,2009,1984.17,73.46,0.667
12,Algeria,...,...,...,...,"18,753.00",...,...,...,...,...,"32,922.13",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,32922.13,...,1.061
24,Angola,...,...,...,...,...,...,...,...,...,...,"15,931.23",...,...,...,...,"19,932.36",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,19932.36,...,1.026
28,Antigua and Barbuda,98.91,...,...,...,...,...,...,...,...,...,142.17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,142.17,43.74,1.870
32,Argentina,"76,790.20",...,...,...,"82,725.07",...,...,"82,099.27",...,...,"84,849.65",...,...,...,...,...,...,...,...,...,"75,074.92",...,"77,139.66",...,...,...,...,...,...,2012,77139.66,0.46,1.847
51,Armenia,"3,169.30",...,...,...,...,...,...,...,...,...,"1,845.52",...,...,...,...,...,"2,164.76",...,...,...,"2,261.11",...,...,...,...,...,...,...,...,2010,2261.11,-28.66,0.786
36,Australia,"4,975.33","4,972.35","4,949.66","4,804.72","4,673.40","4,606.33","4,614.23","4,727.96","4,686.15","4,520.94","4,667.97","4,611.97","4,540.30","4,322.55","4,408.02","4,476.36","4,453.77","4,442.61","4,374.14","4,335.54","4,250.36","4,331.16","4,316.28","4,288.74","4,202.84","4,214.75","4,234.96","4,326.83","4,381.29",2018,4381.29,-11.94,0.176
40,Austria,415.66,410.66,399.27,395.90,384.30,381.22,369.11,357.02,349.83,342.59,335.72,329.39,323.74,321.21,321.35,312.00,308.01,303.81,298.78,295.73,292.35,284.34,280.27,276.28,271.10,268.08,265.70,265.04,257.55,2018,257.55,-38.04,0.029
31,Azerbaijan,"13,459.35","12,482.40","10,730.37","9,874.62","9,233.28","9,617.79","9,042.81","8,867.46","8,525.16","8,874.81","8,839.66","9,598.47","9,598.26","9,691.50","9,846.27","10,393.96","11,375.38","13,804.20","17,617.60","17,263.73","17,474.25","17,081.08","17,593.80","15,997.72",...,...,...,...,...,2013,15997.72,18.86,1.705
44,Bahamas,21.00,...,...,...,21.00,...,...,...,...,...,25.62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,25.62,22.02,0.086
48,Bahrain,...,...,...,...,"2,945.04",...,...,...,...,...,"3,906.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3906.00,...,5.877
50,Bangladesh,...,...,...,...,"25,007.66",...,...,...,...,...,...,"35,343.84",...,...,...,"39,465.30",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,39465.30,...,0.284
52,Barbados,"1,662.57",...,...,...,"1,787.52",...,...,"1,808.52",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,1808.52,8.78,6.744
112,Belarus,698.34,655.49,604.63,572.36,542.35,514.64,512.32,515.41,515.03,496.99,491.45,488.87,485.89,491.66,523.38,513.08,530.11,540.27,578.91,583.15,606.03,601.63,614.64,631.09,634.15,639.95,631.36,637.26,643.90,2018,643.90,-7.80,0.068
56,Belgium,488.61,487.15,483.97,481.86,483.68,486.72,480.39,475.92,469.24,458.90,441.10,423.07,405.60,382.76,380.69,370.83,366.77,364.37,356.44,353.84,351.77,341.23,335.69,329.47,324.76,325.09,324.05,317.28,313.95,2018,313.95,-35.75,0.027
84,Belize,...,...,...,...,"5,565.82",...,...,...,...,...,141.54,...,...,191.24,...,...,230.04,...,...,261.72,...,...,...,...,...,...,...,...,...,2009,261.72,...,0.832
204,Benin,...,...,...,...,...,"38,015.11",...,...,...,...,"2,323.65",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2323.65,...,0.338
64,Bhutan,...,...,...,...,403.83,...,...,...,...,...,592.83,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,592.83,...,1.003
68,Bolivia (Plurinational State of),"9,351.72",...,...,...,"11,673.69",...,...,...,"12,288.78",...,"12,764.85",...,"11,024.09",...,"11,973.06",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,11973.06,28.03,1.320
70,Bosnia and Herzegovina,"4,454.52","4,345.53","3,037.02","1,053.99","1,195.11","1,380.75","1,865.64","2,080.26","2,278.92","2,368.80","2,382.45","2,418.78",...,...,...,...,...,...,...,...,...,...,...,"2,751.00","2,478.00",...,...,...,...,2014,2478.00,-44.37,0.712
