Country ID,Country,"Time Series - NOx total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOx emissions, latest year",% change since 1990,"NOx  emissions per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
4,Afghanistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,61.63,...,...,...,...,...,...,...,66.00,...,...,...,...,...,2013,66.00,...,2.05
8,Albania,17.85,21.11,15.63,16.16,18.85,18.17,18.17,19.37,23.70,27.06,17.85,18.01,18.67,20.17,23.02,25.89,29.37,33.69,39.06,48.49,...,...,...,...,...,...,...,...,...,2009,48.49,171.70,16.31
12,Algeria,...,...,...,...,242.00,...,...,...,...,...,280.33,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,280.33,...,9.03
24,Angola,...,...,...,...,...,...,...,...,...,...,124.73,...,...,...,...,151.32,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,151.32,...,7.79
28,Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,2.27,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2.27,...,29.87
32,Argentina,509.26,...,...,...,638.92,...,...,702.04,...,...,668.88,...,...,...,...,...,...,...,...,...,"1,000.36",...,"1,007.23",...,...,...,...,...,...,2012,1007.23,97.78,24.12
51,Armenia,76.59,...,...,...,...,...,...,...,...,...,12.13,...,...,...,...,...,15.07,...,...,...,17.21,...,...,...,...,...,...,...,...,2010,17.21,-77.53,5.98
36,Australia,"1,620.79","1,596.16","1,642.04","1,684.87","1,686.93","1,693.48","1,745.08","1,798.40","1,835.62","1,867.47","1,875.88","1,960.00","2,040.07","2,121.25","2,174.58","2,194.34","2,204.69","2,213.55","2,265.98","2,250.31","2,340.34","2,267.93","2,438.47","2,506.79","2,527.13","2,531.84","2,588.30","2,662.48","2,721.85",2018,2721.85,67.93,109.32
40,Austria,216.37,225.94,214.48,205.89,197.52,196.73,214.48,200.68,212.37,204.10,209.69,220.39,227.95,239.31,238.65,244.39,234.49,226.82,213.42,199.59,200.50,192.30,187.18,186.34,177.71,174.66,168.39,160.06,149.00,2018,149.00,-31.14,16.76
31,Azerbaijan,0.08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.01,0.01,0.02,0.01,0.01,0.01,4.72,4.00,…,...,...,...,...,...,2012,4.00,4900.00,0.43
48,Bahrain,...,...,...,...,57.46,...,...,...,...,...,52.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,52.00,...,78.24
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,3.98,...,...,...,3.95,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,3.95,...,0.03
52,Barbados,2.38,...,...,...,0.09,...,...,0.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,0.05,-97.90,0.19
