Country ID,Country,"Time Series - SO2 total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SO2 emissions, latest year",% change since 1990,"SO2 emissions per capita, latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t
4,Afghanistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13.86,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 13.86 ,..., 0.54 
8,Albania,0.57,0.91,0.60,0.61,0.57,0.54,0.51,0.45,0.43,0.38,0.57,0.65,0.66,0.74,0.82,0.27,1.02,1.19,1.34,1.60,...,...,...,...,...,...,...,...,...,2009, 1.60 ,180.70, 0.54 
12,Algeria,...,...,...,...,39.69,...,...,...,...,...,45.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 45.64 ,..., 1.47 
28,Antigua and Barbuda,2.83,...,...,...,...,...,...,...,...,...,2.75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 2.75 ,-2.83, 36.18 
32,Argentina,79.20,...,...,...,99.97,...,...,96.37,...,...,87.62,...,...,...,...,...,...,...,...,...,114.63,...,119.38,...,...,...,...,...,...,2012, 119.38 ,50.73, 2.86 
51,Armenia,0.39,...,...,...,...,...,...,...,...,...,0.64,...,...,...,...,...,27.26,...,...,...,29.44,...,...,...,...,...,...,...,...,2010, 29.44 ,7390.84, 10.23 
36,Australia,"1,585.75","1,570.78","1,652.95","1,743.16","1,764.91","1,674.10","1,762.21","1,818.19","1,743.77","1,832.66","2,343.29","2,585.10","2,775.52","2,775.02","2,512.63","2,520.31","2,482.62","2,444.42","2,511.92","2,598.01","2,378.20","2,507.10","2,518.19","2,414.34","2,499.95","2,384.65","2,465.53","2,286.54","2,121.03",2018," 2,121.03 ",33.76, 85.19 
40,Austria,73.63,70.66,54.13,52.75,47.11,46.73,43.87,40.34,35.57,33.68,31.50,32.38,31.30,31.09,26.49,25.86,26.69,23.34,20.23,14.70,15.94,15.12,14.75,14.34,14.44,13.88,13.22,12.75,11.67,2018, 11.67 ,-84.15, 1.31 
48,Bahrain,...,...,...,...,"1,177.63",...,...,...,...,...,27.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 27.00 ,..., 40.63 
52,Barbados,...,...,...,...,0.18,...,...,0.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997, 0.05 ,..., 0.19 
