Country and area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.23,0.23,0.13,0.11,0.09,0.06,0.08,0.10,0.11,0.15,0.20,0.26,0.13,0.12,0.25,0.28,0.34,0.44,0.47,0.48,0.62,1.20,0.96,0.81,0.74,0.71,0.78,0.96,1.10
Albania,4.36,3.79,2.01,1.63,1.50,1.39,1.21,1.22,1.04,1.14,1.13,1.12,0.94,0.79,0.96,1.59,1.50,1.70,2.06,1.60,2.70,3.97,5.21,5.65,5.73,3.71,2.79,2.74,3.05
Algeria,24.67,30.24,25.15,22.80,24.33,27.72,31.59,33.23,25.24,30.02,41.95,36.34,35.39,38.42,40.51,47.09,47.77,45.52,46.85,32.93,36.19,37.22,35.82,31.49,28.54,20.09,18.59,21.35,23.89
Angola,32.91,28.54,39.87,42.05,59.61,59.82,62.43,53.50,43.80,67.25,67.36,58.64,46.70,42.88,43.39,49.98,46.01,47.20,49.62,27.50,37.62,42.63,40.13,34.94,27.97,22.62,21.55,21.58,21.92
Anguilla,0.33,0.56,0.61,0.48,0.42,0.48,0.60,0.60,0.61,0.61,0.62,0.54,0.57,0.85,1.01,1.18,1.47,1.51,1.35,1.03,0.47,0.44,0.39,0.36,0.49,0.47,0.38,0.38,0.42
Antigua and Barbuda,0.87,0.85,0.78,0.69,0.65,0.73,0.74,0.73,0.75,0.75,0.70,0.85,0.89,1.39,0.77,0.80,1.29,1.34,1.28,1.05,0.92,0.75,0.76,1.07,1.07,0.89,0.92,1.03,1.08
Argentina,2.91,2.10,1.83,1.66,1.65,2.03,2.36,2.11,1.58,1.78,2.70,2.65,6.42,6.01,5.89,5.82,6.75,5.18,4.45,4.84,4.62,4.02,3.88,3.49,4.43,3.79,3.81,3.50,4.55
Armenia,...,...,...,...,...,...,...,...,...,...,0.80,0.89,1.22,1.46,3.41,3.36,2.71,2.39,1.67,1.75,2.74,2.83,2.97,2.48,2.34,2.34,2.81,3.64,3.16
Australia,5.18,5.08,5.03,4.68,4.68,4.99,4.71,4.74,4.46,4.62,5.50,5.30,5.01,4.37,5.47,7.17,7.67,7.68,9.77,7.90,9.93,9.52,8.19,8.95,7.11,6.28,8.17,8.80,7.75
Austria,0.36,0.36,0.36,0.38,0.37,0.34,0.38,0.38,0.36,0.36,0.37,0.40,0.40,0.40,0.42,0.44,0.44,0.39,0.51,0.42,0.45,0.54,0.53,0.51,0.47,0.37,0.30,0.33,0.35
