CountryID,Country and area,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,"Kyoto 
Protocol",Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,"World 
Heritage Convention"
4,Afghanistan,2013,1985,2002,2015,2013,2004,2017,...,2013,2013,...,1995,2002,1979
8,Albania,1999,2003,1994,2001,2005,1999,2016,1996,2010 ,2004,2003,2000,1994,1989
12,Algeria,1998,1983,1995,2005,2005,1992,2016,1984,...,2006,1996,1996,1993,1974
20,Andorra,1999,…,2015,...,...,2009,2017,2012,...,...,...,2002,2011,1997
24,Angola,2017,2013,1998,2006,2007,2000,...,...,...,2006,1990,1997,2000,1991
28,Antigua and Barbuda,1993,1997,1993,2007,1998,1992,2016,2005,2010,2003,1989,1997,1993,1983
32,Argentina,1991,1981,1995,1992,2005,1990,2016,1992,2004,2005,1995,1997,1994,1978
51,Armenia,1999,2008,1993,2011,2003,1999,2017,1993,2003,2003,2002,1997,1993,1993
36,Australia,1992,1976,1993,1991,2007,1989,2016,1975,2004,2004,1994,2000,1992,1974
40,Austria,1993,1982,1994,2005,2002,1989,2016,1983,2002,2002,1995,1997,1994,1992
31,Azerbaijan,2001,1998,2000,...,2000,1996,2017,2001,...,2004,2016,1998,1995,1993
44,Bahamas,1992,1979,1993,...,1999,1993,2016,1997,...,2005,1983,2000,1994,2014
48,Bahrain,1992,2012,1996,...,2006,1990,2016,1998,2012,2006,1985,1997,1994,1991
50,Bangladesh,1993,1981,1994,2005,2001,1990,2016,1992,...,2007,2001,1996,1994,1983
52,Barbados,1995,1992,1994,...,2000,1992,2016,2006,...,2004,1993,1997,1994,2002
112,Belarus,1999,1995,1993,2003,2005,1988,2016,1991,...,2004,2006,2001,2000,1988
56,Belgium,1993,1983,1997,1990,2002,1988,2017,1986,2002,2006,1998,1997,1996,1996
84,Belize,1997,1986,1994,...,2003,1998,2016,1998,2005,2010,1983,1998,1994,1990
204,Benin,1997,1984,1994,1986,2002,1993,2016,2000,2004,2004,1997,1996,1994,1982
64,Bhutan,2002,2002,1995,...,2002,2004,2017,2012,...,...,...,2003,1995,2001
68,Bolivia (Plurinational State of),1996,1979,1995,2003,1999,1994,2016,1990,2003,2003,1995,1996,1994,1976
70,Bosnia and Herzegovina,2001,2009,2002,2017,2007,1993,2017,1992,2007,2010,1994,2002,2000,1993
72,Botswana,1998,1977,1996,...,2003,1991,2016,1997,2008,2002,1990,1996,1994,1998
76,Brazil,1992,1975,1994,2015,2002,1990,2016,1993,2004,2004,1988,1997,1994,1977
96,Brunei Darussalam,2002,1990,2008,...,2009,1993,2016,...,...,...,1996,2002,2007,2011
100,Bulgaria,1996,1991,1996,1999,2002,1990,2016,1976,2000,2004,1996,2001,1995,1974
854,Burkina Faso,1999,1989,1993,1990,2005,1989,2016,1990,2002,2004,2005,1996,1993,1987
108,Burundi,1997,1988,1997,2011,2001,1997,...,2002,2004,2005,...,1997,1997,1982
132,Cabo Verde,1999,2005,1995,2006,2006,2001,2017,2005,2006,2006,1987,1995,1995,1988
116,Cambodia,2001,1997,1995,...,2002,2001,2017,1999,2013,2006,...,1997,1995,1991
120,Cameroon,2001,1981,1995,1983,2002,1989,2016,2006,2002,2009,1985,1997,1994,1982
124,Canada,1992,1975,1993,...,2002,1988,2016,1981,2002,2001,2003,2016,1992,1976
140,Central African Republic,2006,1980,1995,...,2008,1993,2016,2006,...,2008,...,1996,1995,1980
148,Chad,2004,1989,1994,1997,2009,1994,2017,1990,2004,2004,2009,1996,1994,1999
152,Chile,1992,1975,1994,1983,2002,1990,2017,1981,2005,2005,1997,1997,1994,1980
