CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14280,16956,14790,18270,14885,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
12,Algeria,...,...,...,...,...,...,...,...,...,...,50,245,245,276,276,276,307,307,307,307,307,307,307,66.80000305,66.80000305,66.80000305,...,...,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,
20,Andorra,28.73719597,...,...,...,...,24.51856804,44.85888672,25.47115707,18.37098122,29.87985992,30.20063591,24.47259712,33.17750931,28.33630371,18.57633209,18.97390175,15.87197876,12.79845524,29.93157196,27.01101494,26.32811546,16.44216728,20.10008621,31.73136139,33.45061874,25.41829872,...,...,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,
51,Armenia,...,...,...,...,...,1189,...,...,...,...,641,557,1062,1086,1546,1063,1157,1513,901,1294,1783,773,641,842,471,763,798,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,17895.90039,...,...,...,...,19792.09961,7863.799805,11925.40039,11752.5,18948.59961,18773.19922,18506.80078,22201.90039,24072.09961,22556.40039,19566.19922,24687.5,21385.5,16687,16806,23132,20263,15565,14340,13967,14217,14854,12139,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,
48,Bahrain,112,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,1427332.375,...,...,...,...,...,...,...,...,...,...,...,...,...,1145326,925951,1073899.25,1000922,1128249,907241,1031774,786620.3125,944239,1303778,1187102,1145000,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,30200,...,...,...,...,22700,17300,19700,36800,29100,27600,24500,19500,19600,23100,24800,26800,22300,23400,23100,...,...,...,...,...,...,...,...,5,,,,,5,,,,5,5,5,5,5,5,,,,,,,,,,,,,
56,Belgium,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15245,12677,17907,19341,15723,15631,18066,11589,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Botswana,7591,...,...,...,...,6047,6001,51,6741,18,...,...,...,...,...,...,...,...,...,...,...,...,7.300000191,...,...,...,...,...,"6,7",,,,,"6,7","6,7","6,7","6,7","7,8",,,,,,,,,,,,,,,,,,
76,Brazil,...,...,...,...,...,...,...,...,...,...,...,2510856,2692215,2588407,2446144,2216103,2412020,2531389,2526475,2688737,2354976,2371564,2675296,2588276,2953856,3074419,2605009,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,67259,93475,93910,75961,83684,67891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Cabo Verde,0,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Cayman Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,85580,100495,123400,113750,91990,179932,164933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0,0,1,0,0,1,1,1,1,16,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,400,420,492,486,553,645,825,653,541,550,573,617,1341,524,640,781,1070,637,485,713,769,480,492,845,388,398,402,339,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
