CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17451,20445,19300,21846,18368,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
20,Andorra,283.8183899,...,...,...,...,242.1537628,443.0417175,251.5618591,181.4380951,295.1036987,298.2718201,241.6997375,327.6724243,279.8590088,183.4662018,187.392746,156.7570801,126.4019165,295.6144409,266.7700195,260.0254517,162.3884583,198.5153198,313.391449,330.3708801,251.0405273,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,...,...,...,...,...,4881,...,...,...,...,2232,2766,6831,7598,4756,7394,5577,7854,3538,7039,6898,8512,5181,5537,5061,5678,6084,3953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,54254,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,8814.400391,...,...,...,...,9937.799805,...,...,...,9332.900391,9246.5,9115.299805,13039.2002,14137.59961,13247.40039,9824.400391,11177.09961,12044.7998,10264,12401,10641,12299,10907,10030,9684,7985,10792,8612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,314099,...,...,...,...,...,...,...,...,...,...,...,...,...,325812,287538,236719,333392,283272,247756,243033,297004,270566,270271,238877,336150,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,60619.19922,...,...,...,...,29064,53561,45672,85589,42899,56171,55574,50795,51046,57957,59897,53349,44748,66039,76180,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,8761,8874.700195,12858.90039,13166.59961,12312.09961,12252,7950,9269.099609,16137.40039,14214.5,15812,17358,16346,5589,11232,7995,12503,14173,...,...,...,...,12112,10532,9240,10780,11091,10686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Belize,...,...,...,...,...,...,...,...,...,...,...,9751,4397,2802,3395,12972,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Benin,2360.300049,...,...,...,...,4763.899902,3341,4263.5,3585.100098,5422.899902,4318.399902,1902.5,2654.899902,3601.300049,4724,3760.600098,2857.100098,6028.200195,6208.100098,5091,4511,4301.100098,3544.100098,2055.699951,2151.300049,1601.099976,3041.699951,2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26.84750748,24.97463226,24.65659523,24.73168755,20.44704056,17.92000008,21.76320076,27.26079941,30.14080048,25.07519913,31.61919975,23.23200035,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,17608,14915,13558,10460,14670,15182,11978,12976,11925,14507,51907,12614,27393,34371,48727,24008,29663,26107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,...,...,...,...,...,...,...,...,...,...,...,7048454,7086438,6683889,6828025,6841269,6979055,6988163,6622448,6618319,6771338,3674868.5,1488356.25,3420858.75,2761243.5,968695.6875,1442396.75,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,16451,16184,24830,30021,18399,14204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Chile,940250,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,China,...,...,...,...,...,...,...,...,...,...,2770100,2686800,2826100,2746000,2413000,2805300,2533000,2525500,2743400,2418000,3090600,2325700,2952900,2795800,2726700,2796300,3246600,2876100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",1242.300049,...,...,...,...,1996.5,1471.599976,2536.800049,1966.199951,1441.300049,1886.300049,2269.300049,1666.099976,1077.199951,589.9000244,2353.100098,1674.800049,338.6000061,1944,889.9000244,1271,283.7999878,812.2999878,2094.100098,1782.599976,1019.5,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.782464981,3.938791752,9.548855782,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,109980.8594,109144.0781,114064.3906,117158.3281,111939.1094,104074.6719,119087.3594,121639.8125,106538.5391,136020.5625,110256.0078,95862.78906,96053.95313,112310.9297,106960.0469,104994.4922,109827.4688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,13695,...,...,...,...,30363,...,...,...,...,12194,21599,24785,6873,26537,24923,13080,16209,...,...,...,27080,23018,22118,30965,22560,25018,22960,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24592,64761,51987,74580,57021,32920,48435,45386,59446,51731,49885,44246,45692,66910,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,733,600,393,800,...,759,515,497,386,342,321,284,321,323,230,233,277,165,374,257,335,474,177,236,290,258,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,9594,9084,12027,9599,14604,17564,17429,17950,13403,13910,14380,15567,22765,11376,12156,14858,18220,13350,10416,11220,24341,13500,12573,19040,8123,9622,11348,14167,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
208,Denmark,18360,13548,11582,6848,7949,10108,5552,10480,24117,22588,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,34465.40625,...,...,...,...,86777.66406,89866.36719,145385.4063,56448.10156,157154.5781,96859.91406,97546.53125,122325.9063,84259.00781,53009.47656,52853.125,97432.80469,98682.86719,170909.2031,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,1300,1300,1300,1300,1300,1300,1300,...,...,...,...,...,1300,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
