CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
12,Algeria,...,...,...,...,...,...,...,...,...,1130,1400,1400,1400,1450,1550,1650,1700,1800,1846,1980,2100,2115,2130,...,1124.699951,1178.47998,...,...,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
28,Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,...,1.74000001,1.679999948,1.570000052,1.700000048,2.079999924,2.119999886,2.210000038,...,...,2.75999999,2.74000001,2.74000001,1.929999948,1.950000048,2.029999971,...,...,,,,,,,,,,,,2,2,2,2,2,2,2,,,2,2,2,2,2,"2,3",,
51,Armenia,345.6000061,...,...,...,...,327.7999878,289.2999878,207.8000031,170.8999939,138.6999969,154.6999969,152.8999939,139.6999969,116.4000015,90.59999847,81.80000305,67.5,59.20000076,61.90000153,61.59999847,61,62.70000076,65.30000305,68.5,71.30000305,72.69999695,73.90000153,80.19999695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,...,...,...,...,...,...,...,...,...,...,...,2056,...,...,...,1874,...,...,...,1615,1663,1555,1587,1683,1713,1706,1743,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,350,449.1000061,477.7000122,469,465.6000061,337.3999939,340.7000122,343.2999878,346.5,348.8999939,351.2000122,353.5,356.2999878,...,...,...,...,...,...,...,381,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,678,...,...,...,...,512,551,506,410,634,378,247,403,361.2000122,437.7999878,433,427.2999878,302.5,303,302.5,302.1000061,215.6000061,184.1000061,200.5,211.8000031,214,213.8999939,188.8000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,94,...,...,...,...,...,...,...,...,...,...,...,...,...,138.8999939,143.5,149.6999969,153.1000061,180.8999939,200.6000061,214,221.8000031,223,229.8000031,239.6999969,239.3999939,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20.68000031,22.07999992,23.96999931,73.86000061,77.63999939,78.12000275,669.960022,...,...,,,,,,,,,,,,,,,,,,,,4,4,4,5,5,5,6,,
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,669,660,624,576,573,501,427,425,493,468,473,472,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,...,432.3999939,...,...,...,...,422.1000061,414.2999878,397.7999878,403.6000061,399.6000061,148.7799988,147.4299927,147.1100006,146.1100006,145.8899994,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
