CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,873,920,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Algeria,...,...,...,...,...,...,...,...,...,3275,4266,4266,4266,4318,4518,4718,4770,5070,5768,6013,6187,6227,6422,...,3038,3548,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.552783012,7.172842979,6.806888103,6.590263844,6.502994061,6.395152092,5.615816116,5.967377186,6.010172844,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,2.029999971,...,...,...,...,2.299999952,...,...,...,...,4.570000172,3.029999971,3.309999943,2.980000019,3.650000095,4.039999962,3.5,4.650000095,5.070000172,5.03000021,4.869999886,5.179999828,5.349999905,4.260000229,3.450000048,3.640000105,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,868.2000122,...,...,...,...,436.5,407.6000061,338.7000122,251.6000061,215.6000061,204.8000031,196.3999939,182.3000031,163.8999939,124.9000015,116.3000031,134.3000031,93.69999695,99.5,93.40000153,93.30000305,96.80000305,104.4000015,108.8000031,112.3000031,117.6999969,119.6999969,121.1999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,...,...,...,...,...,...,...,...,...,...,...,12388.7998,...,...,...,10331.40039,...,...,...,3453,3196,2952,4686,5390,5308,5124,3390,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,603.7000122,604.4000244,632.7999878,625.7999878,618.7999878,611.0999756,609.5,604.2999878,581.4000244,549.2999878,...,...,...,...,...,...,...,...,...,...,587,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,...,...,...,422.2999878,504.7000122,497.6000061,493.1000061,363.7000122,362.7000122,362.7000122,362.7000122,274.8999939,249.6999969,271.2000122,284.7999878,288.8999939,281.2000122,255.6000061,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,Bahrain,105,...,...,...,...,...,...,...,...,...,...,...,...,...,157.1000061,162.3999939,169.6000061,171.8000031,199.6000061,219.8999939,235.1000061,242.8999939,244.3999939,252,263.5,260.5,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20.68000031,22.07999992,23.96999931,80.16000366,83.94000244,84.41999817,776.3200073,...,...,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,3,4,,
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,841,839,803,777,700,680,615,602,652,595,627,611,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,602.4000244,663.5,416.7999878,415.2999878,414.7999878,409.6000061,722.2000122,728.0999756,715.4000244,738.2999878,722.0999756,360,363,363,351,342,587.2000122,579.7299805,571.6199951,567.9000244,579.3499756,...,...,...,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
84,Belize,...,...,...,...,...,3.518059254,...,...,...,4.46999979,4.920897007,5.060207844,5.056996346,5.658564568,6.35333252,6.372941017,6.414999962,6.715000153,6.869732857,7.083522797,7.360188961,7.494476795,7.646801949,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Benin,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24,25,25,26,27,28,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.400000095,3.450000048,3.349999905,2.900000095,3.299999952,2.380000114,3.480000019,3.309999943,2.789999962,2.519999981,2.690000057,2.660000086,2.630000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plurinational State of),63.17974472,...,...,...,...,78.92198944,87.43237305,92.16334534,99.89286041,101.4444351,104.9373474,104.579361,107.9630203,112.0631866,115.4654617,120.1135483,124.2223129,129.0085907,133.0616455,138.3883362,159.5605316,184.7628021,187.2491302,201.2688904,211.0948944,220.9508057,224.6799622,...,6,,,,,7,8,8,9,9,9,9,9,9,9,10,10,10,10,11,12,13,13,13,13,14,14,
