CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,147.94,147.94,147.94,150.68,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,37.27,37.32,37.15,37.53,38.00,40.92,43.37,44.44,45.95,47.04,47.67,47.71,48.10,46.40,51.37,56.97,54.94,54.82,...,...,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,"2,082.00","1,742.00","1,732.00","1,699.00","1,726.00",992.00,"1,027.00",570.00,650.00,957.00,949.00,930.00,830.00,808.00,"1,023.00",984.00,"1,179.00","2,056.00","2,228.00","2,569.00","2,319.00","2,221.00","2,108.80","1,509.04",,,,,,,,,,,,,,,,,,1,,,,,,2
40,Austria,...,...,...,...,...,...,...,...,...,...,"6,454.73",...,"6,561.58",...,"6,443.77",...,"6,580.76",...,"6,462.95",...,"6,564.32",...,"6,575.28",...,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,124.70,...,...,...,...,...,...,...,...,...,175.64,181.60,182.10,238.20,268.30,297.40,316.10,320.90,320.20,341.40,432.00,425.50,433.50,428.10,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,"5,893.00","4,002.00","3,625.00","3,552.00","3,603.00","3,601.00","3,568.00","3,626.00","3,531.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,8.66,9.17,8.77,8.29,8.73,8.03,7.65,8.14,8.60,8.84,8.11,9.22,6.70,,,,,,,,,,,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,311.72,318.07,277.83,294.01,302.22,483.14,481.69,445.98,487.82,472.82,428.43,442.87,...,...,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,"51,689.16","54,533.70","49,866.07","55,273.84","57,280.15","62,233.85","65,109.67","65,707.48","65,815.27","66,693.14","74,117.44","75,708.80","69,350.69","78,376.79","82,822.65","79,344.24","86,008.13","87,392.05","94,315.10","1,02,151.67","1,06,983.67","1,11,465.24","1,09,494.16","1,11,604.28",,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,848.56","2,896.47","2,764.03",...,,,,,,,,,,,,,,,,,,,,,3,3,3,
