CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
20,Andorra,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,0,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,148.1999969,138.3000031,130.3999939,128.1000061,122.3000031,119.1999969,113.3000031,110.0999985,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,...,...,...,55.79999924,60,61.09999847,71.40000153,77.69999695,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,1,1,1,1,1,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",...,0.300000012,0.400000006,0.100000001,0.100000001,0.200000003,0.200000003,0.300000012,0.300000012,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,211,213,366,371,374,204,208,215,1342,...,,,,,,,,,,,,,,,,,,,,,,,2,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.19999981,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,1.399999976,3.099999905,3.599999905,4.300000191,4.400000095,4.699999809,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
492,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
702,Singapore,9,12,12,13,13,13,13,13,13,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
