CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
20,Andorra,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,0.029999999,...,...,...,...,...,...,...,...,...,0.029999999,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,1.899999976,21.20000076,20.70000076,20.39999962,14.60000038,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,220.3999939,215.3999939,222.8000031,251.8000031,287.6000061,247.6000061,221.8000031,212.3000031,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,389.8630066,292.3287659,337.2602844,1495.616455,1486.849365,258.3561707,300,299.4520569,271.7808228,198.6301422,204.3835602,167.6438293,167.9178009,181.6438293,179.3698578,164.1917877,...,...,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75.65699768,92.53099823,99,125.6809998,127.3002014,127.4502029,...,...,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,232.6060944,230.7907867,238.6235352,...,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,688.7299805,104.5899963,...,,,,,,,,,,,,,,,,,,,,,,,2,
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45.20547867,47.94520569,73.15068817,19.72602654,31.50684929,34.52054977,36.44109726,35.46027374,...,...,,,,,,,,,,,,,,,,,,,3,3,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,4.1095891,5.205479622,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,...,...,506.0274048,532.6027222,476.1643982,409.3150635,512.3287964,528.2191772,500.5479431,484.1095886,455.6164246,445.2054749,...,...,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,...,...,...,...,...,...,...,...,...,...,...,...,...,1325,1320,1315,1312,1326,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,1882.191772,1906.849365,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,161.1999969,2.5,9.300000191,12.80000019,0.600000024,0.02,0.004,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,...,...,...,...,...,...,...,...,...,...,...,...,...,2628.76709,...,...,2650.758789,...,...,2544.528809,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,118.4000015,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,32,42,45,46,45,34,37,44,47,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,...,...,...,...,...,...,...,...,...,...,...,29.47945213,19.20547867,23.47945213,16.79452133,13.89041138,34.13698578,41.91780853,26.52054787,35.61643982,41.01369858,41.89041138,...,...,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,28.05479431,33.17808151,36.27397156,29.01369858,23.78082275,23.39726067,...,...,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
492,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
642,Romania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1426.575317,623.2876587,618.3561401,781.6438599,963.0136719,910.4109497,...,...,,,,,,,,,,,,,,,,,,,,,,,,
688,Serbia,...,...,...,...,...,...,175,168,145,169,195,171,172,203,210,151,160,149,104,105,95,58,...,...,,,,,,,,,,,,,,,,,,,,,,,,
702,Singapore,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,715.0684814,823.2876587,505.753418,512.876709,...,...,,,,,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,...,...,...,...,...,...,...,...,...,...,...,...,676.1643677,...,724.9315186,...,1282.465698,...,1373.808228,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
