CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,,,,,,,,,,,,,,,,,,
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16.4382,16.4382,16.4382,16.4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Algeria,...,...,...,...,...,...,...,350,410,410,520,520,610,880,1090,420,693,781,800,441,478,541,568,609,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,2.200000048,2.200000048,2.700000048,2.599999905,2.700000048,5.699999809,9.5,8.199999809,6.400000095,32.29999924,35.20000076,41.79999924,47.70000076,45.5790329,46.40000534,51.37123108,56.96699905,54.93700027,54.81999969,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,737,581,619,575,493,378,340,271,351,390,277,221,212,203,201,172,172,315,272,202,352,195.6000061,172.8999939,175.8999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2208.219156,...,3109.58901,...,2994.520518,...,3098.630106,...,3054.79449,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,566.5,674.5,615.7000122,613.7999878,552.5999756,543.9000244,552.5999756,...,...,...,455.2999878,509.2999878,511.2000122,500.2000122,573.5,547.0999756,555.5999756,543,653.2000122,540,548,595,596,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,124.6699982,...,...,...,...,...,...,...,...,...,175.6100006,181.1000061,181.6000061,237.6999969,267.7999878,296.8999939,315.6000061,320.3999939,319.7000122,339.5,407.5,399.3999939,407.1000061,413.2999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,80,...,...,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
52,Barbados,...,...,8.800000191,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,2518,2304,2386,2380,2405,2397,2421,2475,2422,...,...,...,...,...,...,733,686,675,680,685,673,618,...,...,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,...,...,...,...,...,...,...,263.013696,298.630134,536.986296,635.616432,2528.767098,5454.794466,4964.383512,3002.739696,2868.493122,2794.52052,2824.657506,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,232.3308716,249.2908783,265.3987732,311.4778748,413.1418762,411.02005,...,,,,,,,,,,,,,,,,,,4,4,4,4,5,5,,,,,,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,10.45479488,4,10.37260246,12.68219185,13.94794559,13.93150711,13.56986332,10.00547981,10.9588,10.9588,10.9588,13.6985,10.9588,10.9588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,...,...,2505.592529,2896.730957,3702.881836,3901.17627,4170.680176,4518.359863,5007.399902,5265.209961,5676.990234,6032.330078,6333.419922,6693.419922,7289.040039,7931.22998,8558.900391,8782.19043,9005,9806.400391,10311.91992,10424.71973,11111.90234,...,,,,,,,,,,,,,,,,,,,6,7,7,7,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,594.520542,...,...,...,...,1345.205466,1238.356152,1265.753412,1290.410946,1271.232864,1126.027386,1106.849304,1073.972592,1153.424646,1169.863002,1328.76711,1309.589028,1323.287658,1408.219164,1372.602726,1449.315054,1493.15067,1457.534232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Burundi,...,...,...,...,...,...,...,...,...,9.699999809,8.899999619,8,...,...,...,...,10.10000038,8,8,8,9.800000191,4.300000191,3.339999914,2.880000114,,,,,,,,,,8,8,8,,,,,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,
132,Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,0.302197248,2.320109606,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Cayman Islands,...,...,...,...,...,...,...,...,...,...,1.94380939,1.820783377,2.229986429,2.495722532,2.604363918,2.735339165,2.896976233,2.85382247,3.290280581,3.560483217,3.900489092,3.766485453,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,1958.904053,2098.630127,2087.671143,2145.205566,2186.30127,2350.684814,2424.657471,2495.890381,...,...,...,...,...,2693,2675,2674,2681,2755,2778,2782,2731,...,...,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",...,75,80.69999695,92.09999847,101.0999985,114.5,123.6999969,145.3000031,146,133.6000061,151,152.5,151.8999939,167.6999969,124.3000031,182.6999969,187.8999939,185.6999969,203.1999969,214.8999939,216.8999939,193,229.5211029,211.0030975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.788909912,6.338910103,31.51522636,26.18227768,26.51539803,30.49419594,27.78761673,66.56824493,73.23999786,...,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,526.027392,564.383556,564.383556,572.602734,709.589034,726.02739,734.246568,731.506842,753.42465,723.287664,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,276712,279452,293151,298630,287671,271233,304110,306849,331507,336986,358904,339726,336986,389041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,57.534246,60.273972,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,...,...,2479.45203,2358.904086,2260.27395,2421.917784,2668.493124,2380.821894,2284.931484,2545.205454,2260.27395,2180.821896,2260.27395,2328.7671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,5071.200195,13749.59961,10980,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10470,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,...,...,...,...,...,...,...,...,...,...,...,...,...,3975,3959,3944,3935,3979,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,...,...,...,...,...,723.2808,668.4868,706.8426,802.7321,632.8707,632.8707,687.6647,786.2939,665.7471,728.7602,783.5542,767.116,717.8014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,French Polynesia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6.849999905,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,1153,649.2999878,677.5,686.5999756,655,686,650,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,...,...,...,...,...,...,...,14471.23273,...,...,14334.24643,...,...,27789.04082,...,...,27517.80794,...,...,27221.91754,...,...,26473.97234,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,...,...,...,...,...,...,...,...,15.01219748,...,15.01219748,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1183.561632,1320.547932,1298.630124,1320.547932,1493.15067,1473.972588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Iran (Islamic Republic of),...,...,...,...,...,...,...,...,...,...,2130,2195,2220,2265,2300,2345,2390,2450,2576,2715,2896,2995,3259,3376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,317.3999939,1195.099976,998.2000122,794.5999756,844.5,753.0999756,976.5999756,1138.900024,1273.800049,1211.400024,1386,1105.699951,1496.699951,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,...,...,...,219.8904114,249.2328796,276.7123413,280.4383545,281.9178162,281.6438293,279.0684814,...,...,...,...,...,,,,,,,,,,,,,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1867,1578,1590,1593,1569,1542,1553,1546,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3695.608398,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,564,658,713,706,582,632,724,819,843,847,876,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,...,...,...,...,...,...,...,...,...,...,...,334.246572,326.027394,350.684928,306.849312,399.999996,331.506846,432.876708,386.301366,410.9589,304.109586,298.630134,364.383558,408.219174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Liechtenstein,26.84931564,27.1232872,24.31694031,26.30137062,26.30137062,36.16438293,30.60109329,29.86301422,27.94520569,24.10958862,25.13661194,24.10958862,26.02739716,29.86301422,30.60109329,27.67123222,27.39726067,23.09589005,30.9289608,29.61643791,28.05479431,27.67123222,30.9289608,28.79452133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,465.75342,463.013694,446.575338,438.35616,416.438352,413.698626,454.794516,512.328762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,0,0,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,30,35,35,35,35,35,35,...,56.59999847,...,...,38,41,42,74.69999695,90.69999695,70.69999695,83.69999695,100.6999969,113.6999969,119,121.1999969,138.8000031,144.1000061,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Mexico,...,469,...,...,...,...,793,...,...,...,...,1433,...,...,...,...,2184,2284,2337,2283,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Monaco,...,...,...,...,...,18.06999969,20.75,19.06999969,19.29000092,18.52000046,17.54999924,17.22299957,17.0909996,16.38599968,17.61700058,18.04500008,17.79999924,17.05999947,16.13999939,18.99099922,21.17200089,16.82500076,16.59000015,16.07999992,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,,,,,,,
499,Montenegro,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14192,14192,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,824.7999878,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,...,...,...,...,...,...,5041.09584,5375.342412,5172.602688,4446.575298,4852.054746,4660.273926,4679.452008,5254.794468,4879.452006,4594.520502,4876.71228,4854.794472,5005.479402,4717.808172,4643.83557,4947.945156,4802.739678,4841.095842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,North Macedonia,3.5,3.900000095,18.10000038,25.79999924,12,15,13,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,...,...,...,...,...,...,82.49215698,77.85518646,82.35742188,84.25475311,89.36204529,92.49433899,99.24082947,105.5244522,109.5267334,113.1209946,117.9313431,118.090126,121.9702835,126.5344391,131.548111,135.8244629,140.3117676,144.8142853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Peru,...,...,...,...,...,...,...,...,...,...,...,...,585.6333618,595.2214355,732.3074951,743.1300659,703.4000854,718.2133179,709.8617554,1038.365845,1597.650757,1738.288696,1916.699951,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
