CountryID,Country,latest year available,Precipitation (mio m3),Footnotes - A,Actual evapotranspiration (mio m3),Footnotes - B,Internal flow (mio m3),Footnotes - C,Inflow of surface and groundwaters from neighbouring countries (mio m3),Footnotes - D,Renewable freshwater resources (mio m3),Footnotes - E,Renewable freshwater resources per capita (m3)
8,Albania,2017,32224,1,13856,1,18368,1,14885,1,33253,1,11529
12,Algeria,2017,330957,,...,,...,,...,,...,,...
20,Andorra,2015,475,2,224,2,251,,25,3,276,,3545
660,Anguilla,2009,71,,...,,...,,...,,...,,...
28,Antigua and Barbuda,2015,161,,...,,...,,...,,...,,...
51,Armenia,2017,14335,,10382,,3953,,710,,4663,,1583
40,Austria,2011,83256,,...,,...,,...,,...,,...
31,Azerbaijan,2017,34085,,25473,,8612,,12139,,20751,,2108
48,Bahrain,2016,48,,...,,...,,...,,...,,...
50,Bangladesh,2015,410245,4,74095,5,336150,,1145000,,1481150,,9479
52,Barbados,1996,656,,...,,...,,...,,...,,...
112,Belarus,2009,167877,,91697,,76180,,23100,,99280,,10525
56,Belgium,2017,24867,,14181,1,10686,,11589,1,22275,1,1951
84,Belize,2005,49017,,36045,,12972,,...,,12972,,45709
204,Benin,2017,6593,,4224,,2369,,...,,...,,...
60,Bermuda,2017,73,6,49,,23,7,0,,3,"10,8,9",41
68,Bolivia (Plurinational State of),2017,0,11,...,,...,,...,,...,,...
70,Bosnia and Herzegovina,2017,51354,,25247,,26107,,2000,,28107,,8386
72,Botswana,2013,415355,12,...,,...,,...,,...,,...
76,Brazil,2017,13870901,,11719974,,...,,...,,...,,...
92,British Virgin Islands,2005,163,,...,,...,,...,,...,,...
100,Bulgaria,2017,84411,,70207,,14204,,67891,,82095,,11559
108,Burundi,2005,...,,...,,...,,...,,10061,13,1366
132,Cabo Verde,2017,...,,...,,...,,0,,...,,...
120,Cameroon,2009,785944,,...,,...,,...,,...,,...
136,Cayman Islands,2015,...,,...,,...,,0,,...,,...
140,Central African Republic,2007,900370,,...,,...,,...,,...,,...
152,Chile,1990,...,,...,,940250,,...,,...,,...
156,China,2017,...,,...,,2876100,,...,,...,,...
344,"China, Hong Kong Special Administrative Region",2015,2058,,1039,,1020,,...,,1020,,142
446,"China, Macao Special Administrative Region",2015,41,,...,,...,,...,,...,,...
170,Colombia,2016,10,,...,,10,,...,,...,,...
188,Costa Rica,2017,157436,,47609,,109827,,...,,109827,,22188
191,Croatia,2017,64839,,41879,,22960,14,164933,,187893,14,44920
192,Cuba,2017,163527,15,96617,16,66910,,20,,66930,,5903
531,Curaçao,2017,519,,...,,...,,...,,519,,3202
196,Cyprus,2017,1956,,1760,,196,,0,,196,1,166
203,Czechia,2017,53397,1,39230,1,14167,,339,1,14506,,1363
384,Côte d'Ivoire,1990,420000,17,...,,...,,...,,...,,...
180,Democratic Republic of the Congo,2017,1110,18,...,,...,,...,,...,,...
208,Denmark,2009,31588,,...,,...,,...,,...,,...
212,Dominica,2005,...,,...,,...,,0,,...,,...
214,Dominican Republic,2005,84177,,...,,...,,...,,...,,...
218,Ecuador,2009,329120,,...,,...,,...,,...,,...
818,Egypt,2015,1300,,...,,1300,,55500,,56800,,614
222,El Salvador,2017,36313,19,21427,19,14886,,9791,20,24677,,3863
233,Estonia,2017,31739,,...,,...,,...,,...,,...
246,Finland,2017,248210,,124282,,123928,,4811,,128739,,23359
250,France,2017,452384,,299398,,152986,,9526,,162512,,2506
270,Gambia,2009,11373,,6566,,4807,,7388,,12196,,7008
268,Georgia,2017,80069,,33815,,46254,,...,,...,,...
276,Germany,2015,249000,,177000,,72000,,60000,,132000,,1614
324,Guinea,2017,2049,,...,,...,,...,,...,,...
348,Hungary,2017,58218,,52951,,5267,,95132,,101293,,10411
352,Iceland,2014,194159,,18256,,175903,,0,,175903,,535323
356,India,2013,4085000,,...,,...,,...,,...,,...
360,Indonesia,2017,5344011,,...,,...,,...,,...,,...
368,Iraq,2017,49482,,43973,,5509,,40690,,46199,,1230
372,Ireland,2017,87221,,38377,,48844,,3364,1,52208,,10984
380,Italy,2013,...,,...,,0,,...,,0,,...
388,Jamaica,2017,23708,,...,,...,,0,,...,,...
400,Jordan,2017,8165,,7636,,529,,125,,654,,67
398,Kazakhstan,2017,784772,,704872,,79900,,59100,,139000,,7688
414,Kuwait,2017,52,21,7,,45,,...,,45,,11
417,Kyrgyzstan,2012,12506,,...,,...,,...,,30674,,5457
428,Latvia,2017,49302,,27017,,22285,,23381,,45666,,23405
422,Lebanon,2009,8600,,4500,,4100,,...,,4100,,852
440,Lithuania,2017,57852,,36034,,21818,,11960,,33778,,11871
442,Luxembourg,2011,1508,,...,,1508,,...,,1508,,2904
450,Madagascar,2007,888191,22,551191,,337000,,0,,337000,,17341
458,Malaysia,2017,1002596,23,...,,...,,...,,...,,...
462,Maldives,2012,502,,...,,...,,0,,...,,...
466,Mali,2017,403498,24,334865,25,68633,,55074,,13559,,732
470,Malta,2017,138,,69,,69,,0,,69,,158
584,Marshall Islands,2015,141,26,...,,...,,...,,...,,...
480,Mauritius,2017,4041,27,1212,27,2829,27,0,,2829,,2237
492,Monaco,2017,1,,...,,...,,...,,...,,...
504,Morocco,2012,91000,,79500,,11500,,...,,...,,...
520,Nauru,2015,89,,53,28,35,,0,,35,,3419
524,Nepal,2015,205611,,...,,...,,...,,...,,...
528,Netherlands,2017,35199,,22753,14,12446,14,...,,...,,...
562,Niger,2012,604486,29,...,,...,,...,,...,,...
807,North Macedonia,2015,17889,,...,,...,,...,,...,,...
578,Norway,2017,394534,,...,,...,,...,,...,,...
512,Oman,2000,9481,,...,,...,,...,,...,,...
591,Panama,2017,208954,30,78218,30,130736,30,3612,,134348,,32714
600,Paraguay,2017,697115,,485512,,211603,,...,,...,,...
608,Philippines,2015,538835,31,...,,...,,...,,...,,...
616,Poland,2017,248836,,194583,,54254,,6788,,61041,,1608
620,Portugal,2017,46770,,51301,,-4531,,21652,,17121,,1664
634,Qatar,2017,965,,859,,106,,2,,108,,40
498,Republic of Moldova,2017,19235,,28500,,...,,11540,,...,,...
642,Romania,2017,157892,,128889,,29003,,225,,29228,,1487
643,Russian Federation,2017,9977200,,5508700,,4468500,,213000,,4681500,,32169
646,Rwanda,2012,32414,32,...,,...,,...,,...,,...
659,Saint Kitts and Nevis,2012,173,,...,,...,,0,,...,,...
682,Saudi Arabia,2017,144000,,...,,...,,...,,...,,...
686,Senegal,2017,...,,...,,...,,...,,27300,33,1771
688,Serbia,2015,51746,,46170,,5576,,154540,,160116,,18038
702,Singapore,2015,1267,,...,,...,,0,,...,,...
703,Slovakia,2017,40535,,22287,,18248,,61099,,79347,,14565
705,Slovenia,2017,31836,,13187,34,18649,34,12860,,32183,34,15499
710,South Africa,2000,548600,,...,,49040,,5260,,54300,,1192
724,Spain,2015,344073,,181681,,162392,,0,,162392,,3479
144,Sri Lanka,2006,107600,,64812,,42788,,...,,...,,...
729,Sudan,2011,7087,,...,,...,,...,,...,,...
740,Suriname,2017,2192,35,...,,...,,...,,...,,...
752,Sweden,2017,359510,,163216,,179741,,15072,,194812,,19668
756,Switzerland,2015,60198,,20025,,40173,,11000,,51173,,6168
760,Syrian Arab Republic,2007,39131,,33653,,5478,,9734,,15212,,765
764,Thailand,2014,...,,...,,...,,...,,285227,,4168
768,Togo,2012,...,,...,,...,,...,,11500,,1698
780,Trinidad and Tobago,2006,10883,,6530,,4353,,...,,4353,,3342
788,Tunisia,2013,18360,,16539,,1821,,...,,1821,,166
792,Turkey,2017,396842,,...,,...,,...,,...,,...
804,Ukraine,2017,339,,...,,...,,...,,...,,...
784,United Arab Emirates,2017,3613,,...,,...,,...,,...,,...
826,United Kingdom of Great Britain and Northern Ireland,2012,...,,139959,,...,,...,,...,,...
834,United Republic of Tanzania,2016,817311,36,...,,...,,...,,...,,...
862,Venezuela (Bolivarian Republic of),2009,936000,,851538,37,106774,38,444732,39,551506,,19675
887,Yemen,2015,...,,...,,...,,0,,...,,...
894,Zambia,2012,1034,,44,,990,,...,,...,,...
