CountryID,Country,1990,1995,1996,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
12,Algeria,...,6.400432213,...,...,...,...,10.0297764,...,...,...,9.47811311,...,...,...,...,...,...,...,...,...,...,,,,,,,1,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12.08369444,26.27094038,22.92513431,24.88388673,19.83843526,,,,,,,,,,,,,,,,,,,2,2,2
51,Armenia,...,...,...,124.3091907,123.0883204,124.5592715,114.0215773,117.109443,116.1673642,119.073517,123.5145186,150.3526319,152.6781158,151.3210707,160.9747082,163.2610763,199.8382149,197.9188234,189.7335048,209.6184643,184.4723425,,,,,,,,,,,,,,,3,,,,,,
40,Austria,...,...,...,...,...,...,...,123.3724057,...,116.104981,...,159.5000895,...,175.1335234,...,125.1402399,...,147.6793646,...,144.153297,...,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,3.472221329,...,3.269339746,2.005177572,1.181222941,3.212516052,1.323607076,1.502704306,3.426689663,1.200210355,2.751785668,14.7728583,15.49644798,20.30049269,32.05418961,21.61661215,48.03740165,27.28500123,64.97528102,27.01487692,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,...,241.2635112,...,210.648587,200.7027463,190.4378438,43.16877507,39.77234385,42.96375938,40.42094544,33.79506145,...,...,...,...,...,...,...,...,...,...,,4,,4,4,4,4,4,4,4,4,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,0.135382014,...,...,...,...,0.185876503,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,8.903298934,...,7.353118086,10.03852846,11.9152062,12.72220873,15.93485188,19.95906478,24.94334425,33.73526402,54.91667759,80.1673482,96.92738501,99.61405582,139.6568657,150.2012336,182.7843414,127.9524842,172.2075311,176.5099337,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5
56,Belgium,...,...,...,...,...,...,...,495.9359709,...,380.3416844,377.5589173,549.0978761,...,435.8179677,...,251.3410415,...,263.8869642,...,335.8060003,...,,,,,,,,,,6,,,,,,,,,,,
84,Belize,...,...,...,3.13365546,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,7,,,,,,,,,,,,,,,,,
204,Benin,...,...,...,...,...,0.232749595,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,8,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,9.100006254,9.279501738,9.021985153,8.791413616,9.182048159,9.4434414,9.46969697,8.328045685,,,,,,,,,,,,,,,,,,,6,6,6
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.574062822,,,,,,,,,,,,,,,,,,,,,
