CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,...,...,...,...,0,0,0,0,0,0,0,0,0,0,1359,456,300,12,167.3999939,17,2379,289.7000122,604.9000244,582.7999878,,,,,,,,,,,,,,,,,,1,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,150206,...,79972,...,77201,...,67983,...,62905,...,71327,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,1007,9747,969,38,25999,1241,8599,10401.2002,58429.10156,37132.10156,113898.3984,86426.5,111309.5,210858,25923,35772,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,...,...,...,...,...,...,...,...,1095,1024,963,1051,893,1290,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,996,...,...,...,...,1447.300049,...,...,...,...,...,,,,,,,,,,,,,,2,,,,,2,,,,,
112,Belarus,...,...,...,...,...,...,...,21954,8382,12171,10300,50163,54194.32813,41349.35938,39626.98047,34615.71094,46000,57230.12109,29050.43945,21244.4707,59290.21875,24500.9707,33810,49810,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,Belgium,...,...,...,...,...,...,...,...,...,...,193790,...,160202,...,155556,...,158400,...,186829,...,287112,...,258006,...,,,,,,,,,,,4,,,,,,,,,,,,,
84,Belize,...,...,...,...,...,691,775,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,5,5,,,,,,,,,,,,,,,,,
204,Benin,...,...,...,...,...,...,...,...,1698,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,6,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,7,5,8,5,6.599999905,10,5,,,,,,,,,,,,,,,,,,,,,,7,7,7
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,428,,,,,,,,,,,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
72,Botswana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,386.6799927,...,719.1900024,...,1061.537964,,,,,,,,,,,,,,,,,,,,8,,8,,8
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,44984,...,81641,...,49759,...,1762,...,5352,...,7171,...,5259,...,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,202.1999969,369.5,311.1000061,299.7999878,355,1148.199951,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,8027,7070,10197,11732,11879,12054,10364,10182,9342,9021,9037,7487,7220,6779,6325,5396,6029,5930,6376,6480,8266,...,...,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",...,...,...,175,207,207,225,315,263,308,351,367,384,399,450,449,504,457,414,436,486,473,544,556,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
191,Croatia,...,...,...,...,...,...,...,...,...,...,41,...,47133,...,402,...,4573,...,45,...,0,...,0,...,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16924,15423,11678,15423,21194,25718,7493,9269,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,2207,...,47,...,53,...,89,...,3,...,0,...,0,...,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,30693,...,49141,...,61128,...,49533,...,71077,...,73373,...,77049,...,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,...,...,...,...,...,...,...,...,...,...,93137,...,0,...,0,...,0,...,2701,...,3293,...,4109,...,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,...,...,...,...,...,477,...,40,...,0,...,0,...,38,...,20,...,59,...,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,...,...,...,...,93676,...,79679,...,112686,...,141509,...,107476,...,149463,...,42460,...,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,37000,...,1220900,...,1228645,...,1306167,...,1422701,...,1520287,...,1514417,...,,,,,,,,,,,10,,,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,...,...,...,...,...,76,110,...,...,...,...,361,494,...,...,...,,,,,,,,,,,,,,11,11,,,,,,,,,
268,Georgia,0,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,...,...,...,...,...,...,...,...,...,...,1436474,...,1351419,...,1543961,...,1128772,...,1142653,...,1263306,...,1056183,...,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,...,...,...,...,...,3006,...,20921,...,12333,...,7792,...,6176,...,6148,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,...,...,...,...,...,...,...,...,1385,1300,...,...,...,...,243,262,305,322,...,,,,,,,,,,,,,,11,11,,,,,,,,,
320,Guatemala,...,...,...,...,...,...,...,...,...,376,833,732,709,846,917,...,1347,...,...,...,...,...,...,...,,,,,,,,,,12,12,12,12,12,12,,12,,,,,,,
348,Hungary,...,...,...,...,...,...,...,...,...,...,49226,...,66784,...,59036,...,69452,...,76830,...,81181,...,74222,...,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,4500,...,...,...,0,...,0,...,0,...,732,...,1352,...,,,,,,,,,,,,,,,,,,,,,,,,
356,India,...,...,...,...,...,...,118941,...,...,...,...,...,...,...,415794,...,...,601842,92954,...,803549,829923,...,279482,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,408,...,...,...,...,1049,...,...,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,...,...,...,...,...,...,...,...,...,...,37303,...,35121,...,20897,...,19676,...,13386,...,13121,...,7488,...,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,...,...,...,...,...,...,...,...,...,...,539697,...,506582,...,448750,...,382719,...,393680,...,407142,...,374739,...,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,7500,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,496.2999878,383.7000122,...,...,...,31.68899918,286.2000122,1,10.10000038,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,91314,56099.83594,195643.3281,1227241.875,1449912.25,305558.6875,648117.5,577116.8125,908047.25,511195.25,416856.0313,421800.0313,378135.6563,384536.875,,,,,,,,,,,,,,,,,,,,,,,,
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8156.200195,,,,,,,,,,,,,,,,,,,,,,,,13
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,12480,12480,...,1994,1245,2592,2351,2945,...,...,...,4955,,,,,,,,,,,,,,,,14,14,14,14,,,,,14
417,Kyrgyzstan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4046918.25,5067700.5,,,,,,,,,,,,,,,,,,,,,,,15,15
428,Latvia,...,...,...,...,...,...,...,...,...,...,322,...,940,...,311,...,212,...,15,...,11,...,9,...,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,1866,...,3070,...,693,...,1480,...,1019,...,1932,...,617,...,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,0,...,0,...,...,...,0,...,11,...,0,...,4,...,,,,,,,,,,,,,,,,,,,,,,,,
