CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,...,60.20000076,86.26000214,51.75999832,100.8600006,52.95999908,23.05999947,157.2200012,7.940000057,7.159999847,13.60000038,16.60000038,...,...,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,
51,Armenia,...,...,...,...,286607,241596,381578,375500,377900,344095,351400,346325,352279,362275,433537.5313,438227.5625,432811.7813,457729.8125,460844.6875,574973.8125,571750.375,551020.0625,601917.375,541012.375,,,,,,,,,,,,,,,,,,2,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,43465,...,0,...,45033,...,47959,...,59046,...,60260,...,66429,...,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,7606,...,...,...,...,15348,4532,1607,386,100360,622,1406220,1510,55840,144517.7969,87314.60156,97530.29688,84996.20313,65401.10156,414633.5938,166965.0938,634000,175613,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,...,...,...,...,...,...,...,31942,4466,5661,5430,10626,11164,7432,...,...,...,...,...,...,...,...,...,...,,,,,,,,3,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,18924,...,...,...,...,27498.69922,...,...,...,...,...,,,,,,,,,,,,,,4,,,,,4,,,,,
112,Belarus,...,...,...,...,...,...,...,51001,54358,63477,72700,19161,16826.66992,34284.85938,61295.60938,99987.10938,136600,83656.79688,123682.8906,124725.7188,153561.8438,99282.84375,115960,110730,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5
56,Belgium,...,...,...,...,...,...,...,...,...,...,1306543,...,283073,...,443605,...,981568,...,739347,...,960148,...,1219738,...,,,,,,,,,,,6,,,,,,,,,,,,,
204,Benin,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,215,242,209,179,234,261.5,190,215,,,,,,,,,,,,,,,,,,,,,,7,7,7
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,11981941,...,13302797,...,12846297,...,13501203,...,13157860,...,11853969,...,38190,...,,,,,,,,,,,6,,6,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,5307,9046,9675,7492,8663,7133,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,6646,9266,6935,10220,6205,25620,10950,8760,11315,6954,5475,6935,5840,6789,7361,8150,5805,4170,4118,4521,3094,...,...,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",...,...,...,4004,3647,3698,3963,4230,4986,5616,5519,5562,6115,5970,8376,11256,11915,17116,17269,16816,19671,23195,20585,19243,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
191,Croatia,...,...,...,...,...,...,...,...,...,...,10661,...,560802,...,2843,...,8735,...,10312,...,10035,...,6251,...,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12421,7300,118909,170000,116000,137887,7803,5469,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,18596,...,5064,...,13154,...,14810,...,5470,...,141248,...,128870,...,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,150858,...,65263,...,77417,...,60288,...,33638,...,35512,...,33205,...,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,...,...,...,...,...,...,...,...,...,...,115162,...,163542,...,169800,...,668190,...,526737,...,1031289,...,1132336,...,,,,,,,,,,,,,,,,,,,,,,,,
212,Dominica,...,...,...,...,...,...,...,...,502,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,...,...,...,...,...,6642961,...,6093940,...,6429778,...,7979192,...,7466476,...,8983360,...,9232944,...,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,...,...,...,...,...,...,...,...,...,...,...,...,3928.290039,2957.429932,3276.389893,3682.02002,3510.189941,3946.790039,2883.409912,6678.572754,10765.0166,11920.83594,12956.52051,14332.50684,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,...,...,...,...,1818127,...,1738207,...,1721782,...,873678,...,943989,...,1187806,...,1718032,...,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,1707000,...,1768740,...,2120360,...,2729389,...,2838870,...,2672055,...,2322485,...,,,,,,,,,,,9,,,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,83,139,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,0,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,...,...,...,...,...,...,...,...,...,...,4760823,...,4250976,...,5057111,...,3939665,...,4839110,...,4612317,...,5175434,...,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,...,...,...,...,...,143971,...,33118,...,15748,...,11910,...,16997,...,19303,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,...,...,...,...,...,...,...,...,3000,7748,...,...,...,...,151,12,0,505,...,,,,,,,,,,,,,,10,10,,,,,,,,,
320,Guatemala,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,4,4,...,...,...,...,...,,,,,,,,,,,,,,,,,11,11,11,,,,,
348,Hungary,...,...,...,...,...,...,...,...,...,...,81207,...,836448,...,215076,...,87068,...,155827,...,85563,...,69187,...,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,2000,...,...,...,129039,...,1387,...,759,...,10106,...,26531,...,,,,,,,,,,,,,,,,,,,,,,,,
356,India,...,...,...,...,...,...,5250173,...,...,...,...,...,...,...,2728326,...,...,3321147,1997733,...,3364549,3821571,...,2563267,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15096,...,...,...,...,16645,...,...,,,,,,,,,,,,,,,,,12,,,,,13,,
372,Ireland,...,...,...,...,...,...,...,...,...,...,13675,...,13766,...,12582,...,21011,...,15853,...,18541,...,18304,...,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,...,...,...,...,...,...,...,...,...,...,615182,...,518527,...,690629,...,736999,...,1063650,...,1268619,...,1289000,...,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,...,...,2500,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,57.20000076,0,...,...,...,382.6380005,6883.600098,10026.2998,26539.40039,...,880002,495,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,170632.2969,104829.9922,365585.5313,2168479.75,2561928,570977,4484692,8948527,980434.9375,484519.5938,581783.6875,676513.875,679065.1875,454871.75,,,,,,,,,,,,,,,,,,,,,,,,
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.599999905,,,,,,,,,,,,,,,,,,,,,,,,14
428,Latvia,...,...,...,...,...,...,...,...,...,...,726,...,705,...,1070,...,5557,...,3378,...,6681,...,1610,...,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,...,...,...,...,...,...,...,...,...,...,14288,...,1810,...,2343,...,4523,...,15449,...,18168,...,10441,...,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,0,...,0,...,0,...,7,...,,,,,,,,,,,,,,,,,,,,,,,,
