CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,...,...,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,...,...,...,...,0,0,0,0,0,0,0,0,0,0,2362,2340,2286,5154,7983,4059,2290,3766.800049,12948.2998,1636.900024,,,,,,,,,,,,,,,,,,1,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,196956,...,86393,...,164800,...,161018,...,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,11435,395,728,1359,3836,4911,3263,4926,4741,18739.09961,5548.200195,3619.100098,6316.600098,618.4000244,3163.399902,5174.899902,47845,5452,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,0,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,14167,17412,23815,54700,227357,252869.4688,344168.1875,437105.875,675189.625,774900,827656.8125,1324327.75,1091670.25,1242204.75,889779.25,1201580,1047870,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56,Belgium,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2133360,...,663425,...,719730,...,811242,...,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,365,352,362,356,376,401,400,310,,,,,,,,,,,,,,,,,,,,,,3,3,3
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,58195,...,61337,...,151901,...,112277,...,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,206.3000031,14.30000019,357.7999878,410.7999878,365.2999878,434.3999939,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",...,1101,5754,3704,3623,3718,3258,3547,2969,5116,3154,4234,4882,9118,7381,8396,10371,12420,12872,12766,11680,12918,...,...,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26371,...,54660,...,44649,...,55565,...,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6956,5582,5334,17876,25055,20492,25289,16245,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14552,...,7652,...,14616,...,12397,...,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,391266,...,356786,...,222970,...,248036,...,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,237150,...,505973,...,312465,...,514749,...,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,933398,...,1568604,...,1316434,...,214601,...,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,286443,...,285278,...,169314,...,112860,...,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3415081,...,3475951,...,2366474,...,2229863,...,,,,,,,,,,,,,,,,,,,,,,,,
254,French Guiana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,847,1049,...,...,...,,,,,,,,,,,,,,,5,,,,,,,,,
268,Georgia,0,...,...,...,...,...,...,...,...,...,0,0,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9500261,...,9687326,...,9641160,...,9843189,...,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,88500,...,84931,...,89564,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14650,16247,12709,12994,...,,,,,,,,,,,,,,,,,,,,,,,,
320,Guatemala,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3600,3620,10200,6320.899902,10276.08008,20363.63086,1366.51001,4883.629883,12363.62988,,,,,,,,,,,,,,,,,,,,6,6,6,6,6
348,Hungary,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,191809,...,124454,...,184295,...,173375,...,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6353,...,10749,...,24109,...,17611,...,,,,,,,,,,,,,,,,,,,,,,,,
