CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,313.3999939,486.7999878,425.980011,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,
51,Armenia,...,...,...,...,286607,241596,381578,375500,377900,344095,351400,346325,352279,362275,437258.5313,441023.5625,435397.7813,462895.8125,470505.6875,579049.8125,576419.375,555076.5625,615470.625,543232.125,,,,,,,,,,,,,,,,,,2,,,,,,
40,Austria,...,...,...,...,...,...,...,...,...,...,861967,...,335042,...,395221,...,401082,...,338860,...,440136,...,447240,...,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,25434,18024,36097,33922,13030,26783,4927,3342,11492,105165,5571,1435482,7677,69180,173658.0938,151291.9063,138281.5,205211.2031,152446,529106.5,382998,707768,216837,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,19920,...,...,...,...,28946,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,116816,139425,123930,169740,315251,345939.9688,446203.875,625929.0625,943306.6875,1124600,1110645.5,1704034.75,1848646.125,2093566.75,1557851.5,1902590,1731480,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,Belgium,...,...,...,...,...,...,...,...,...,...,3310427,...,1760728,...,2200008,...,3487665,...,1703615,...,2101500,...,2449731,...,,,,,,,,,,,,,,,,,,,,,,,,
84,Belize,...,...,...,...,...,691,775,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,4,4,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,585,601,576,543,615,669.0999756,600,530,,,,,,,,,,,,,,,,,,,,,,5,5,5
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,428,,,,,,,,,,,,,,,,,,,,,,,,
72,Botswana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,386.6799927,...,719.1900024,...,1061.537964,,,,,,,,,,,,,,,,,,,,6,,6,,6
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,12090994,...,13474505,...,13037033,...,13561160,...,13389620,...,12176438,...,13177710,...,,,,,,,,,,,,,,,,,,,,,,,,
854,Burkina Faso,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8.899999619,11.19999981,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,5715.5,9429.799805,10343.90039,8296.099609,9383.299805,8716.599609,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
156,China,...,...,...,...,9282000,9890000,5870000,6710000,6330000,8020000,6780000,8350000,8550000,9960000,12080000,12590000,14895000,26895300,27028500,24012900,29908200,32237000,44295100,65949800,,,,,,,,,,,,,,,,,,7,,,,,,
344,"China, Hong Kong Special Administrative Region",...,97066,79405,79327,88458,71705,91261,76998,63848,58968,47318,46357,57973,59574,55899,53459,39404,34409,31981,30772,30318,31699,...,...,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,,
446,"China, Macao Special Administrative Region",...,...,...,4179,3854,3905,4188,4545,5249,5924,5870,5929,6499,6369,8826,11705,12419,17573,17683,17252,20157,23668,21129,19798,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,...,...,...,...,...,...,...,...,...,...,42636,...,623383,...,18364,...,68554,...,73404,...,66055,...,75892,...,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,488662,230469,537508,467293,345665,272285,106136,76194,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,...,...,...,...,65047,...,16651,...,23290,...,30779,...,13277,...,157243,...,141504,...,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,...,...,...,...,...,...,...,...,...,...,648497,...,572497,...,834798,...,831600,...,753402,...,597309,...,529490,...,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,...,...,...,...,...,...,...,...,...,...,338334,...,375562,...,416095,...,1073218,...,1206582,...,1546812,...,1884932,...,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42.70000076,...,1.899999976,5.860000134,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,...,...,...,...,...,...,...,...,...,7180381,...,6864430,...,7708801,...,8928558,...,9131274,...,10315095,...,9590378,...,,,,,,,,,,,,,,,,,,,,,,,,
