CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,1057,...,...,...,...,...,...,...,...,...,940,1229,1413,1300,1254,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
12,Algeria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4816.811035,5182.157227,5779,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,...,...,...,...,40.20000076,41.09999847,48.90000153,37.40000153,48.09999847,48.68000031,49.06000137,49.54000092,50.75,45.77000046,47.58000183,47.91999817,51.97000122,44.77999878,43.13999939,41.64910889,41.14198303,42.07011414,43.04934311,43.34580231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5839.5,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
660,Anguilla,...,...,...,...,...,...,...,...,...,...,...,5.634637356,5.104964733,4.639725208,5.273289204,8.012088776,10.4528513,12.36040497,14.65470028,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
28,Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,84.09999847,90.90000153,111.8000031,121.6999969,136.3999939,136.6000061,121.1999969,122.5,132.6999969,138,95.80000305,...,...,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,,
32,Argentina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5585.209961,5662.342773,6125.505859,...,5692.036133,...,...,...,...,...,,,,,,,,,,,,,,,,,,,5,5,5,,5,,,,,
51,Armenia,394.7000122,...,...,...,...,342.6000061,318.6000061,289.8999939,281.1000061,242.1999969,208.1000061,233.6000061,284.3999939,368.6000061,377,374.6000061,381,391.8999939,385.8999939,410.8999939,387.1000061,395.5,408.1000061,517.6900024,517.0999756,492.7999878,499.7000122,493.8999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,...,...,12000,...,...,...,...,...,...,...,13200,...,...,...,...,...,...,12799,13028,13256,13516,13463,13345,13227,13110,13345,...,...,,,6,,,,,,,,6,,,,,,,,,,,,,,,,,
40,Austria,...,...,...,...,...,3476,4110,4241,4240,4496,4646,4634,4914,4932,4687,4732,4933,4951,4997,4921,4701,4807,4883,4905,4833,4836,4928,5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,1104,1268,1854,1889,1784,1753,1573,1631,1478,1603,1609,1781,1647,1671,1355,1535,1590,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bahamas,...,...,...,...,...,...,...,...,...,...,...,...,...,...,168.8619995,239.9459991,227.1679993,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,...,...,...,...,...,...,213,384.2000122,395,393.1000061,423.8999939,515.4000244,536.7999878,659.7999878,717.7999878,1034.900024,1156.5,1111,1645.5,1532.5,1546.300049,1423.199951,1432,1943.400024,1629.800049,1605.400024,1805.099976,2124.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2676.290039,...,...,...,3783.360107,...,...,...,...,4841.759766,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2395.169922,3015.5,3076.52002,2971.959961,3310.100098,3651.659912,3942.080078,3899.620117,3913.97998,4217.899902,4401.660156,4679.580078,3785.699951,3813.300049,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,8,8
56,Belgium,...,...,...,...,...,4613,4567,4650,4603,4702,4830,4802,4981,4824,5059,5052,5115,5243,5119,5021,4953,5003,4944,4867,4762,4643,4746,4659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Belize,...,...,...,...,...,...,...,38.09999847,...,...,69.35700226,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,89.72000122,81.01000214,82.05999756,84.63999939,85.20999908,83.58999634,89.80000305,95.69999695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,50.05160904,...,...,...,...,41.32799911,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,...,...,508.8200073,612.7150269,685.7397461,661.5116577,809.1671753,805.0905762,785.6531372,850.7310181,887.8137207,913.9627075,995.9447021,1040.484253,1058.681152,1099.71582,1231.144531,1284.831177,1379.075684,1476.96167,1521.884399,,,,,,,,,,10,10,10,10,11,11,11,11,11,11,12,11,11,11,12,11,11,11,11
