CountryID,Country,Year,Municipal waste collected (1000 tonnes),Footnote,Municipal waste landfilled (%),Footnote,Municipal waste incinerated (%),Footnote,Municipal waste recycled (%),Footnote,Municipal waste composted (%),Footnote,Municipal waste managed with other treatment or disposal (%),Footnote
8,Albania,2017,1254,1,63.16,,3.43,1,...,,...,,...,
12,Algeria,2017,6000,,...,,...,,...,,...,,...,
20,Andorra,2017,43.35,,0.00,,77.15,,0.00,,0.00,,0.00,
24,Angola,2006,5839.5,2,...,,...,,...,,...,,...,
660,Anguilla,2008,14.65,,100.00,,0.00,,0.00,,0.00,,...,
28,Antigua and Barbuda,2015,95.8,3,100.00,,...,,...,,...,,...,
32,Argentina,2012,5692.04,4,...,,...,,...,,...,,...,
51,Armenia,2017,493.9,,100.00,,...,,...,,...,,...,
36,Australia,2015,13345,,48.60,,9.39,,42.00,,...,,...,
40,Austria,2017,5018,,2.05,,38.74,,...,,...,,...,
31,Azerbaijan,2017,1576,,61.87,,33.44,,0.00,,0.00,,4.70,
44,Bahamas,2006,227.17,,...,,...,,...,,...,,...,
48,Bahrain,2017,2124.5,,...,,...,,...,,...,,...,
50,Bangladesh,2014,4841.76,,84.25,,0.00,,15.00,5,0.00,,0.00,
112,Belarus,2017,3813.3,6,77.56,6,0.00,,17.15,,0.00,,5.29,"6,7"
56,Belgium,2017,4659,,0.88,,42.97,,...,,...,,...,
84,Belize,2000,69.36,,100.00,,...,,...,,...,,...,
60,Bermuda,2017,95.7,,10.45,,69.59,,1.04,,18.81,,...,
64,Bhutan,2017,41.33,,60.00,8,15.00,9,15.00,10,1.00,11,9.00,12
68,Bolivia (Plurinational State of),2017,1521.88,13,...,,...,,...,,...,,...,
70,Bosnia and Herzegovina,2017,1235,,76.60,,0.00,,...,,...,,...,
72,Botswana,2017,240.55,14,98.93,14,0.44,14,0.63,14,...,,...,
76,Brazil,2015,34018.72,,…,,0.05,,3.01,,0.83,,...,
92,British Virgin Islands,2005,36.7,,0.00,,80.26,15,0.00,,0.00,,19.74,16
100,Bulgaria,2017,3080,,61.79,,3.34,,...,,...,,...,
854,Burkina Faso,2010,...,,...,,...,,...,,...,,...,
108,Burundi,2017,39.09,,...,,...,,...,,...,,...,
132,Cabo Verde,2015,145.89,17,100.00,17,0.00,17,0.00,17,0.00,17,0.00,17
116,Cambodia,2012,461,,...,,...,,...,,...,,...,
