CountryID,Country,City,Year,Municipal waste collected (1000 tonnes),Footnotes,Municipal waste recycled (%),Footnotes,Municipal waste composted (%),Footnotes,Municipal waste incinerated (%),Footnotes,Municipal waste landfilled (%),Footnotes,Other (%),Footnotes,,
8,Albania,Tirana,2003,1270.00,1,...,,...,,...,,45.0,,...,,,
12,Algeria,Adrar,2017,23.00,,...,,...,,...,,...,,...,,,
12,Algeria,Algiers,2017,1050.00,,...,,...,,...,,...,,...,,,
12,Algeria,Djelfa,2017,420.00,,...,,...,,...,,...,,...,,,
12,Algeria,El Djazair (Algiers),2017,1050.00,,...,,...,,...,,...,,...,,,
12,Algeria,Qacentina (Constantine),2017,225.00,,...,,...,,...,,...,,...,,,
12,Algeria,Wahran (Oran),2017,461.00,,...,,...,,...,,...,,...,,,
51,Armenia,Gyumri,2017,9.75,,...,,...,,...,,100.0,,...,,,
51,Armenia,Vanadzor,2017,6.23,,...,,...,,...,,100.0,,...,,,
51,Armenia,Yerevan,2017,310.10,,0.0,,0.0,,0.0,,100.0,,...,,,
31,Azerbaijan,Baku,2017,824.40,,...,,...,,63.9,,27.1,,9.0,,,
31,Azerbaijan,Ganja,2017,78.40,,...,,...,,...,,100.0,,...,,,
31,Azerbaijan,Sumgaitww.,2017,151.20,,...,,...,,...,,100.0,,...,,,
112,Belarus,Minsk,2017,971.40,2,18.7,,0.0,,0.0,,81.2,2,0.1,"3,4",,
204,Benin,Parakou,2002,3.20,,...,,...,,...,,...,,...,,,
64,Bhutan,Thimphu,2017,14.60,,15.0,5,10.0,6,15.0,7,60.0,8,...,,,
68,Bolivia (Plurinational State of),Cobija,2017,16.51,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Cochabamba,2017,192.01,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),El Alto,2017,245.04,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),La Paz,2017,224.43,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Oruro,2017,60.51,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Potosi,2017,47.72,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Potosí ,2017,47.72,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Santa Cruz,2017,599.85,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Sucre,2017,57.20,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Tarija,2017,59.06,,...,,...,,...,,...,,...,,,
68,Bolivia (Plurinational State of),Trinidad,2017,19.55,,...,,...,,...,,...,,...,,,
70,Bosnia and Herzegovina,Sarajevo,2015,197.54,,...,,...,,0.0,,100.0,,...,,,
70,Bosnia and Herzegovina,Zenica,2009,27.30,,4.8,,0.0,,0.0,,91.2,,4.0,9,,
72,Botswana,Francistown,2017,86.53,,0.3,,...,,0.2,,99.5,,...,,,
72,Botswana,Gaborone,2017,77.87,,0.2,,...,,0.4,,99.4,,...,,,
76,Brazil,Brasília,2015,900.71,,2.5,,4.2,,...,,97.1,,...,,,
76,Brazil,Porto Alegre,2015,561.42,,3.4,,0.3,,...,,100.0,,...,,,
76,Brazil,Rio de Janeiro,2015,3273.25,,0.1,,0.1,,...,,101.0,,...,,,
76,Brazil,São Paulo ,2015,3998.51,,1.2,,...,,...,,120.7,,...,,,
108,Burundi,Bujumbura,2017,39.09,,...,,...,,...,,100.0,,...,,,
132,Cabo Verde,Porto Novo,2012,0.86,,...,,...,,...,,...,,...,,,
132,Cabo Verde,Praia,2015,60.11,,0.0,,0.0,,0.0,,100.0,,0.0,,,
132,Cabo Verde,Ribeira Grande,2012,1.40,,...,,...,,...,,...,,...,,,
132,Cabo Verde,S.Miguel,2012,1.44,,...,,...,,...,,...,,...,,,
132,Cabo Verde,Sal,2015,12.10,,0.0,,0.0,,0.0,,100.0,,0.0,,,
132,Cabo Verde,Santa Catarina,2012,6.48,,...,,...,,...,,...,,...,,,
132,Cabo Verde,Santa Cruz,2012,3.96,,...,,...,,...,,...,,...,,,
132,Cabo Verde,Sao Filipe,2012,0.63,,...,,...,,...,,...,,...,,,
132,Cabo Verde,Sao Vicente,2012,18.00,,...,,...,,...,,...,,...,,,
132,Cabo Verde,São Vicente ,2015,37.59,,0.0,,0.0,,0.0,,100.0,,0.0,,,
132,Cabo Verde,Tarrafal,2012,4.68,,...,,...,,...,,...,,...,,,
120,Cameroon,Douala,2009,6816.52,10,...,,...,,...,,100.0,10,...,,,
120,Cameroon,Yaounde,2009,377.28,,...,,...,,...,,...,,...,,,
140,Central African Republic,Bangui,2009,26.80,,...,,...,,...,,...,,...,,,
148,Chad,N'Djamena,2009,121.50,,...,,...,,...,,100.0,11,...,,,
156,China,Beijing (Peking),2017,9248.00,,...,,...,,35.3,,47.4,,17.2,12,,
156,China,Chongqing,2017,5297.00,,...,,...,,40.4,,58.6,,0.5,,,
156,China,Shanghai,2017,7431.00,,...,,...,,48.6,,49.8,,1.7,12,,
344,"China, Hong Kong Special Administrative Region",Hong Kong,2015,5741.00,,35.4,13,...,,...,,64.6,,...,,,
188,Costa Rica,San José,2008,135.25,,...,,...,,...,,...,,...,,,
191,Croatia,Rijeka,2012,27.66,14,23.6,14,0.0,14,0.0,14,76.4,14,0.0,14,,
191,Croatia,Split,2012,58.16,15,1.3,15,0.0,15,0.0,15,98.7,15,0.0,15,,
191,Croatia,Zagreb,2012,295.29,16,2.3,16,6.1,16,0.1,16,91.5,16,0.0,16,,
192,Cuba,Camagüey,2017,215.00,17,3.9,,1.0,,...,,95.2,17,...,,,
192,Cuba,Habana,2017,1855.20,18,0.0,,0.0,,0.0,,100.0,18,...,,,
180,Democratic Republic of the Congo,Kinshasa,2014,589168.00,,...,,...,,...,,...,,...,,,
214,Dominican Republic,Distrito Nacional (Capital de la República),2015,704.04,,...,,...,,...,,100.0,,...,,,
214,Dominican Republic,Los Alcarrizos,2015,55.98,,...,,...,,...,,100.0,,...,,,
214,Dominican Republic,Pantoja (Distrito Municipal),2016,8.61,,...,,...,,...,,100.0,,...,,,
214,Dominican Republic,Pedro Brand,2015,3678.00,,...,,...,,...,,100.0,,...,,,
214,Dominican Republic,Santo  Domingo Este,2015,279.33,,...,,...,,...,,100.0,,...,,,
214,Dominican Republic,Santo  Domingo Norte,2015,114.82,,...,,...,,...,,100.0,,...,,,
214,Dominican Republic,Santo  Domingo Oeste,2015,122.25,,...,,...,,...,,100.0,,...,,,
218,Ecuador,Cuenca,2012,138.24,,0.5,,1.4,,...,,...,,...,,,
218,Ecuador,Guayaquil,2012,1139.56,,...,,...,,...,,...,,...,,,
218,Ecuador,Quito,2012,651.89,,0.9,,...,,...,,...,,...,,,
818,Egypt,Cairo,2002,3869.00,,...,,47.8,,...,,...,,...,,,
270,Gambia,Banjul,2009,41.00,19,0.0,,0.0,,0.0,,100.0,,...,,,
268,Georgia,Batumi,2017,74.70,,0.0,,0.0,,0.0,,100.0,,...,,,
