CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24.00,21.60,8.23,...,...,,,,,,,,,,,,,,,,,,,,1,1,1,,
12,Algeria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.00,10.00,...,...,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,...,...,...,...,7.46,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,2,3,3,,,,,,,,,,,,,,,,,
660,Anguilla,...,...,...,...,...,...,...,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,4,,,,,,,,,,,,
36,Australia,...,...,...,...,...,...,...,...,...,...,...,...,...,36.80,38.16,39.48,39.98,42.26,42.24,42.22,42.19,42.00,...,...,,,,,,,,,,,,,,,,,,,,,,,,
40,Austria,...,23.59,21.39,22.19,23.28,23.60,24.30,24.28,22.69,22.51,23.81,24.94,25.52,26.62,29.54,30.32,27.06,23.84,23.92,24.51,25.47,25.66,...,...,,,,,,,,5,5,5,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,...,...,...,...,...,...,...,...,...,...,...,15.00,...,...,...,15.00,...,...,...,...,15.00,...,...,...,,,,,,,,,,,,6,,,,6,,,,,6,,,
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,1.03,1.33,5.22,7.89,8.59,9.09,9.75,10.77,12.54,12.67,15.84,17.15,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,8,8
56,Belgium,...,11.12,14.17,17.53,22.55,24.73,25.78,27.18,27.40,27.69,27.83,30.62,31.30,33.21,32.51,33.80,33.76,34.12,32.36,31.62,33.03,33.75,33.14,...,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.76,1.98,1.95,1.89,1.88,1.91,1.78,1.04,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15.00,...,...,...,...,15.00,,,,,,,,,,,,,,,,,,,"10,9",,,,,9
72,Botswana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.83,...,1.16,...,0.63,,,,,,,,,,,,,,,,,,,,11,,11,,11
76,Brazil,...,...,...,...,...,...,...,...,...,...,0.57,0.91,1.09,1.15,8.37,13.87,4.25,1.74,1.64,2.25,2.55,3.01,...,...,,,,,,,,,,,,,,,,,,,,,,,,
92,British Virgin Islands,...,0.00,...,...,...,0.00,0.00,0.00,0.00,0.00,0.00,0.00,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,0.00,0.00,0.00,15.90,15.66,15.51,16.13,16.33,16.50,17.17,18.26,19.12,20.57,19.42,19.94,24.50,23.98,22.27,25.10,21.21,19.03,22.70,...,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,
132,Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.00,0.00,...,0.00,...,...,,,,,,,,,,,,,,,,,,,,,,12,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,0.73,1.08,0.31,0.37,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",31.94,41.28,35.43,32.72,32.87,31.28,33.98,36.35,36.29,40.81,40.41,43.11,45.62,45.61,48.77,49.29,51.99,47.90,38.91,36.57,36.50,35.41,...,...,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,
446,"China, Macao Special Administrative Region",...,0.19,0.18,0.07,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.11,0.09,0.10,0.16,0.25,0.33,0.86,0.76,...,...,,"14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15","14,15",,
170,Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.02,19.59,23.16,20.70,17.25,...,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,...,...,...,0.00,...,...,...,...,...,...,0.00,0.00,0.00,2.27,1.96,1.61,3.25,7.48,13.17,13.25,14.42,16.32,19.17,...,,,,5,,,,,,,5,5,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,7.00,5.75,6.25,4.76,7.04,7.14,6.55,4.55,4.40,4.70,3.73,3.76,3.66,3.62,6.78,5.47,,,,,,,,,,,,,,,,,,,,,,,,
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9.60,7.68,14.14,7.53,23.93,31.24,11.89,8.20,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,0.00,2.75,3.16,2.87,3.05,2.98,3.07,3.23,3.12,3.21,3.74,4.22,5.19,7.33,8.32,10.68,12.59,12.32,13.13,13.38,13.31,13.39,...,,,,,,,,,,,,,,,,,,,,,,5,5,
203,Czechia,...,0.00,0.00,0.00,0.56,0.53,0.55,0.54,0.56,0.56,4.86,5.62,6.61,9.12,8.82,10.66,13.56,14.77,20.57,21.25,22.57,25.50,26.76,...,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,
208,Denmark,...,14.35,24.59,21.33,22.60,24.63,21.29,22.36,22.31,25.59,24.86,24.49,24.30,26.64,34.19,31.15,...,27.29,25.67,25.96,26.92,26.35,27.43,...,,5,,,,,,,,,,,,,,5,,,,,,,,
218,Ecuador,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.06,1.78,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.55,6.86,...,2.10,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,...,0.00,0.00,0.00,0.00,0.00,2.05,2.95,1.99,13.58,23.43,20.61,13.06,20.27,14.89,11.50,10.10,14.54,14.02,12.69,26.60,24.74,25.30,...,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,...,26.03,26.05,26.04,26.04,26.04,26.04,26.04,26.05,26.03,26.05,26.02,26.04,25.98,25.83,24.00,19.65,21.77,21.51,19.02,18.02,28.12,...,...,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,8.78,9.16,10.27,11.57,12.49,12.95,13.70,14.43,15.05,15.32,16.09,16.67,17.25,17.31,17.44,20.04,20.65,21.14,21.64,22.32,23.00,23.27,...,,,,,,,,,,,,,5,,5,,5,,5,,5,,5,
254,French Guiana,...,...,...,...,...,...,...,...,...,...,...,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,...,...,...,,,,,,,,,,,,16,"16,5",16,16,16,"16,5",16,"16,5","16,5","16,5",,,
258,French Polynesia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.65,5.08,7.01,...,...,...,,,,,,,,,,,,,,,,,,,5,,5,,,
276,Germany,...,26.30,28.63,30.45,31.15,37.99,38.14,37.70,41.72,43.18,40.44,44.54,45.65,47.10,47.04,45.81,45.65,46.05,47.42,46.59,47.56,48.73,47.65,...,,"1,17",17,17,17,17,"1,17","1,17",,,,,,,,,,,,,,,5,
288,Ghana,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,...,6.09,6.39,8.41,8.11,8.11,8.07,8.12,8.08,8.11,10.06,11.19,11.18,18.09,15.70,18.16,14.74,14.89,13.67,12.24,12.27,12.76,...,...,,,,,,,,,,,,,,,,,,,,,,,,
312,Guadeloupe,...,...,...,...,...,0.00,...,...,...,...,...,0.19,0.00,1.83,4.18,6.84,8.15,8.40,8.73,6.55,5.29,...,...,...,,,,,,,,,,,,16,"16,5",16,"16,5",16,"16,5",16,"16,5",16,"16,5",,,
348,Hungary,...,1.24,1.24,1.24,1.25,1.23,1.23,1.24,1.44,2.49,10.91,8.67,9.17,10.67,13.33,13.36,15.89,17.17,20.86,21.38,24.32,25.94,26.82,...,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,6.14,7.69,6.67,8.94,11.11,13.08,13.53,13.87,14.29,15.65,...,...,...,17.31,15.91,15.58,20.25,23.78,25.15,21.14,20.00,...,...,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,...,6.71,6.85,7.50,7.83,9.46,11.15,10.50,17.02,22.28,27.82,29.53,31.43,31.81,30.30,30.55,31.97,30.50,30.78,...,...,...,...,...,,,17,17,,17,,,,17,17,17,17,17,,,,,,,,,,
376,Israel,...,...,...,...,...,...,...,...,...,...,11.83,11.20,12.11,11.54,12.46,...,...,...,...,...,14.58,15.68,...,...,,,,,,,,,,,18,18,18,18,18,,,,,,,,,
