CountryID,Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
20,Andorra,...,...,...,...,...,...,8,29,23,64,185.9,266.95,351,330.7,310.56,308,321.81,295.1,286.76,278.76,311.34,312.75,316.27,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,Belarus,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.54,6.2,,,,,,,,,,,,,,,,,,,,,,2,2
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,912,,,,,,,,,,,,,,,,,,,,,,,3
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.26,0.66,0.82,0.68,,,,,,,,,,,,,,,,,,,,4,4,4,4
218,Ecuador,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,308280,279452,226252,41356,49649,,,,,,,,,,,,,,,,,,,5,5,5,5,5
254,French Guiana,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0.16,0.2,0.27,0.31,0.31,0.29,0.34,0.37,0.53,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6
312,Guadeloupe,...,...,...,...,...,...,...,...,...,...,...,...,...,0.78,1.61,2.59,2.95,2.96,2.99,3.44,3.45,4.06,4.28,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6
438,Liechtenstein,0.01,0.05,0.07,0.06,0.05,0.1,0.11,0.09,0.09,0.13,0.15,0.19,0.15,0.15,0.17,0.14,0.2,0.18,0.29,0.31,0.43,0.52,0.47,,,,,,,,,,,,,,,,,,,,,,,
474,Martinique,...,...,...,...,...,...,...,...,...,...,...,...,...,0.25,0.53,0.79,1.17,1.46,1.58,2.31,2.9,3.3,3.81,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6
480,Mauritius,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,111.82,250,,,,,,,,,,,,,,,,,,,,,,,
638,Réunion,...,...,...,...,...,...,...,...,...,...,...,...,...,0.39,1.08,2.77,4.64,5.24,5.44,5.74,6.47,6.68,7.11,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6
686,Senegal,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,25.04,44.06,21.15,10.47,,,,,,,,,,,,,,,,,,,,7,7,7,7
804,Ukraine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,55.9,40.1,31.5,41.8,30.1,37.3,45.9,40,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8
716,Zimbabwe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.03,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
