CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,60,...,...,...,...,...,...,...,...,...,59,63,63,...,...,,,,,,,,,,,,,,,,,,,,,,,,
12,Algeria,...,65,...,...,...,...,...,...,75,...,...,...,...,...,...,80,...,...,...,...,85,85,...,...,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,23.10000038,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
660,Anguilla,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,...,...,...,...,...,...,...,...,...,...,...,95,95,95,95,95,95,99,99,99,99,99,...,...,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,...,...,...,...,...,...,...,88.30000305,...,...,...,...,...,...,...,...,89.90000153,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,1,,,,,,,
51,Armenia,77.09999847,77,76.19999695,75.90000153,76.59999847,76.69999695,76.59999847,74.30000305,74.19999695,74.19999695,76.30000305,74.90000153,75.90000153,79.5,78.40000153,80.5,83.19999695,85.09999847,85.59999847,87.69999695,87.19999695,87.59999847,86.59999847,91.69999695,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,64.90000153,64.90000153,64.80000305,64.90000153,64.90000153,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,...,...,...,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,...,...,...,...,...,...,...,...,...,64.59999847,70.5,72.80000305,75.80000305,76.59999847,78.69999695,84.80000305,86.40000153,90.80000305,90.90000153,90.90000153,90.80000305,92,93,93,,,,,,,,,,,,,,,,,,,,,,,,
84,Belize,...,...,...,50.40000153,49.40000153,49.79999924,48.59999847,48.29999924,47.90000153,47.59999847,47.29999924,46.90000153,46.59999847,46.29999924,45.90000153,45.59999847,45.29999924,45.20000076,45.09999847,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,32.31267548,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plurinational State of),...,...,...,...,...,...,...,...,...,45.73072052,...,44.79000092,45.01848602,49.15432739,49.50428772,47.33298492,...,52.65507126,48.22070694,54.99386597,51.01057816,55.6309967,56.36291885,53.27256775,,,,,,,,,,2,,,,,,,,,,,,,,
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,72,72,73,73,74,75,75,76,...,...,,,,,,,,,,,,,,,,,,,,,,,,
72,Botswana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,44.90000153,...,49,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,61,69.5,70.90000153,74.09999847,76.19999695,78,76,81.5,83,83.90000153,82.66000366,83.63999939,84.70999908,85.58000183,86.37000275,87.33999634,...,87.61000061,87.55000305,88.37000275,88.91999817,88.91999817,...,...,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
92,British Virgin Islands,...,...,...,...,...,...,...,97.19999695,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
132,Cabo Verde,...,...,...,...,...,...,...,...,...,66,68,70,72,74,76,78,80,...,84.09999847,84.5,...,85.5,...,...,,,,,,,,,,,4,4,4,4,4,4,4,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57,61.59999847,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,...,...,,,,,,,,,,,,,,,,,,,,,,,,
446,"China, Macao Special Administrative Region",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,73,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
192,Cuba,...,...,...,...,...,...,...,...,75.90000153,75.80000305,75.59999847,75.59999847,75.5,75.40000153,75.30000305,75.40000153,75.30999756,75.19999695,75.59999847,76.80000305,76.90000153,76.90000153,76.90000153,77,,,,,,,,,,,,,,,,,,,,,,,,
212,Dominica,...,...,...,...,...,...,...,75,75,75,87,94,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
